Landmark_Name,Type,Abbreviation,Latitude,Longitude
Grape 1 Residential Building,Residential Building,RB,22.101357,114.249424
Egg 1 Residential Building,Residential Building,RB,22.165359,113.602101
Grape 2 Shopping Mall,Shopping Mall,SM,22.1647,114.125561
Apple 1 Train Station,Train Station,TS,22.20089,113.798769
Apple 2 Recreation Park,Recreation Park,RP,22.294768,113.586925
Happy 1 Recreation Park,Recreation Park,RP,22.336112,114.057894
Apple 3 Shopping Mall,Shopping Mall,SM,22.200115,113.595823
Apple 4 Bus Station,Bus Station,BS,22.218717,113.804865
Apple 5 Recreation Park,Recreation Park,RP,22.132801,113.877035
Apple 6 Residential Building,Residential Building,RB,22.136284,114.170983
Apple 7 Recreation Park,Recreation Park,RP,22.195717,114.050528
Happy 2 Shopping Mall,Shopping Mall,SM,22.1376,114.247153
Happy 3 Residential Building,Residential Building,RB,22.11844,113.691848
Egg 2 Train Station,Train Station,TS,22.125,114.277251
Apple 8 Recreation Park,Recreation Park,RP,22.104637,114.253387
Banana 1 Bus Station,Bus Station,BS,22.082014,114.192022
Dog 1 Residential Building,Residential Building,RB,22.145604,113.648702
Fruit 1 Shopping Mall,Shopping Mall,SM,22.180854,113.929093
Grape 3 Residential Building,Residential Building,RB,22.258231,113.58489
Dog 2 Shopping Mall,Shopping Mall,SM,22.206221,113.915388
Apple 9 Residential Building,Residential Building,RB,22.230405,113.637451
Cat 1 Residential Building,Residential Building,RB,22.235053,114.118963
Fruit 2 Bus Station,Bus Station,BS,22.297167,114.172891
Grape 4 Shopping Mall,Shopping Mall,SM,22.279809,113.899345
Apple 10 Bus Station,Bus Station,BS,22.115804,114.289301
Dog 3 Train Station,Train Station,TS,22.197744,113.803612
Banana 2 Bus Station,Bus Station,BS,22.26193,113.85486
Apple 11 Bus Station,Bus Station,BS,22.083105,114.116702
Banana 3 Train Station,Train Station,TS,22.094855,114.305002
Egg 3 Train Station,Train Station,TS,22.340834,114.022498
Dog 4 Bus Station,Bus Station,BS,22.34903,114.278774
Banana 4 Recreation Park,Recreation Park,RP,22.278346,113.735538
Happy 4 Residential Building,Residential Building,RB,22.118482,113.82223
Banana 5 Bus Station,Bus Station,BS,22.083299,114.30682
Grape 5 Recreation Park,Recreation Park,RP,22.284603,113.96989
Grape 6 Bus Station,Bus Station,BS,22.322895,113.784619
Dog 5 Shopping Mall,Shopping Mall,SM,22.109811,114.238649
Grape 7 Shopping Mall,Shopping Mall,SM,22.085677,114.2883
Grape 8 Train Station,Train Station,TS,22.126403,113.972365
Dog 6 Bus Station,Bus Station,BS,22.279718,113.860144
Fruit 3 Bus Station,Bus Station,BS,22.152277,114.126283
Banana 6 Train Station,Train Station,TS,22.174332,113.746238
Happy 5 Residential Building,Residential Building,RB,22.348517,114.265687
Dog 7 Residential Building,Residential Building,RB,22.29753,114.047705
Banana 7 Bus Station,Bus Station,BS,22.162662,113.776679
Apple 12 Recreation Park,Recreation Park,RP,22.227441,113.930813
Grape 9 Recreation Park,Recreation Park,RP,22.098944,113.754734
Banana 8 Residential Building,Residential Building,RB,22.08296,113.526401
Fruit 4 Bus Station,Bus Station,BS,22.171921,113.964901
Cat 2 Train Station,Train Station,TS,22.170707,114.214895
Cat 3 Shopping Mall,Shopping Mall,SM,22.172259,113.900428
Happy 6 Shopping Mall,Shopping Mall,SM,22.232416,114.105475
Dog 8 Residential Building,Residential Building,RB,22.251307,114.00354
Banana 9 Recreation Park,Recreation Park,RP,22.163398,114.092789
Cat 4 Recreation Park,Recreation Park,RP,22.234808,113.645396
Apple 13 Train Station,Train Station,TS,22.285757,113.527856
Banana 10 Train Station,Train Station,TS,22.164958,114.106885
Egg 4 Recreation Park,Recreation Park,RP,22.166876,114.108704
Happy 7 Train Station,Train Station,TS,22.327543,113.916321
Banana 11 Shopping Mall,Shopping Mall,SM,22.267642,113.579756
Banana 12 Train Station,Train Station,TS,22.319342,113.892948
Egg 5 Train Station,Train Station,TS,22.27702,114.105563
Grape 10 Train Station,Train Station,TS,22.281877,114.25882
Dog 9 Shopping Mall,Shopping Mall,SM,22.138053,113.766014
Dog 10 Residential Building,Residential Building,RB,22.117672,113.86801
Dog 11 Shopping Mall,Shopping Mall,SM,22.241176,113.580842
Egg 6 Residential Building,Residential Building,RB,22.333298,113.798875
Banana 13 Bus Station,Bus Station,BS,22.101406,113.936152
Apple 14 Residential Building,Residential Building,RB,22.224632,114.142908
Dog 12 Residential Building,Residential Building,RB,22.247986,113.829453
Grape 11 Train Station,Train Station,TS,22.274168,113.490816
Dog 13 Shopping Mall,Shopping Mall,SM,22.154531,113.941929
Banana 14 Bus Station,Bus Station,BS,22.349019,114.181185
Fruit 5 Bus Station,Bus Station,BS,22.213625,114.037019
Grape 12 Residential Building,Residential Building,RB,22.305116,114.162454
Happy 8 Recreation Park,Recreation Park,RP,22.128769,113.645752
Dog 14 Shopping Mall,Shopping Mall,SM,22.348914,114.127999
Cat 5 Bus Station,Bus Station,BS,22.255794,113.729591
Grape 13 Shopping Mall,Shopping Mall,SM,22.107912,113.554752
Grape 14 Bus Station,Bus Station,BS,22.116692,114.208378
Dog 15 Bus Station,Bus Station,BS,22.108059,113.90725
Happy 9 Bus Station,Bus Station,BS,22.252067,114.283685
Fruit 6 Residential Building,Residential Building,RB,22.095096,113.57254
Banana 15 Train Station,Train Station,TS,22.166594,113.594061
Egg 7 Train Station,Train Station,TS,22.276722,114.263647
Banana 16 Bus Station,Bus Station,BS,22.154482,113.723967
Cat 6 Bus Station,Bus Station,BS,22.344791,113.731326
Banana 17 Bus Station,Bus Station,BS,22.249452,113.587823
Dog 16 Recreation Park,Recreation Park,RP,22.248928,114.09078
Happy 10 Residential Building,Residential Building,RB,22.301649,114.062275
Cat 7 Shopping Mall,Shopping Mall,SM,22.30254,113.609586
