Landmark_Name,Type,Abbreviation,Latitude,Longitude
Grape 1 Train Station,Train Station,TS,22.132026,114.023697
Happy 1 Shopping Mall,Shopping Mall,SM,22.249452,113.49349
Apple 1 Residential Building,Residential Building,RB,22.317771,113.506589
Grape 2 Recreation Park,Recreation Park,RP,22.343213,113.61356
Fruit 1 Shopping Mall,Shopping Mall,SM,22.238651,114.240333
Banana 1 Recreation Park,Recreation Park,RP,22.105642,113.537582
Fruit 2 Train Station,Train Station,TS,22.133488,113.493965
Happy 2 Residential Building,Residential Building,RB,22.17088,113.929769
Grape 3 Bus Station,Bus Station,BS,22.349815,113.502033
Egg 1 Bus Station,Bus Station,BS,22.240583,113.95283
Banana 2 Shopping Mall,Shopping Mall,SM,22.145825,113.515583
Banana 3 Residential Building,Residential Building,RB,22.274719,113.864825
Dog 1 Residential Building,Residential Building,RB,22.099551,113.679755
Cat 1 Train Station,Train Station,TS,22.198678,113.672574
Grape 4 Residential Building,Residential Building,RB,22.307993,113.540152
Fruit 3 Bus Station,Bus Station,BS,22.114012,114.056439
Happy 3 Residential Building,Residential Building,RB,22.205849,114.065784
Cat 2 Bus Station,Bus Station,BS,22.233442,114.280092
Banana 4 Residential Building,Residential Building,RB,22.166444,114.113237
Apple 2 Recreation Park,Recreation Park,RP,22.207522,113.907964
Banana 5 Recreation Park,Recreation Park,RP,22.279478,113.685809
Dog 2 Residential Building,Residential Building,RB,22.173728,114.019151
Fruit 4 Residential Building,Residential Building,RB,22.142606,113.768375
Fruit 5 Shopping Mall,Shopping Mall,SM,22.096878,113.864089
Dog 3 Train Station,Train Station,TS,22.332313,113.649944
Grape 5 Residential Building,Residential Building,RB,22.140614,113.836796
Egg 2 Recreation Park,Recreation Park,RP,22.270742,113.841508
Cat 3 Residential Building,Residential Building,RB,22.106363,114.283001
Apple 3 Residential Building,Residential Building,RB,22.195792,113.706025
Dog 4 Bus Station,Bus Station,BS,22.116345,113.920856
Happy 4 Recreation Park,Recreation Park,RP,22.136341,114.243105
Banana 6 Train Station,Train Station,TS,22.124633,113.784633
Dog 5 Residential Building,Residential Building,RB,22.190755,114.209041
Egg 3 Train Station,Train Station,TS,22.277691,114.199321
Egg 4 Shopping Mall,Shopping Mall,SM,22.302986,113.897146
Happy 5 Residential Building,Residential Building,RB,22.307309,114.173982
Cat 4 Train Station,Train Station,TS,22.215533,114.149335
Grape 6 Bus Station,Bus Station,BS,22.139639,113.742721
Apple 4 Shopping Mall,Shopping Mall,SM,22.346909,113.931775
Egg 5 Bus Station,Bus Station,BS,22.173279,114.161313
Banana 7 Shopping Mall,Shopping Mall,SM,22.176145,113.964691
Banana 8 Train Station,Train Station,TS,22.224481,113.925859
Happy 6 Shopping Mall,Shopping Mall,SM,22.168692,113.838854
Apple 5 Recreation Park,Recreation Park,RP,22.115293,113.85724
Dog 6 Residential Building,Residential Building,RB,22.162078,114.124146
Apple 6 Residential Building,Residential Building,RB,22.307519,114.282431
Grape 7 Recreation Park,Recreation Park,RP,22.09108,113.9143
Cat 5 Train Station,Train Station,TS,22.15322,114.222931
Happy 7 Train Station,Train Station,TS,22.145216,114.092292
Egg 6 Bus Station,Bus Station,BS,22.195117,113.709558
