Line_ID,Stop_Order,Station_Name,Price
BusLine_1,1,Cat 11 Bus Station,8.6
BusLine_1,2,Banana 7 Bus Station,8.6
BusLine_1,3,Fruit 14 Bus Station,8.6
BusLine_1,4,Fruit 6 Bus Station,8.6
BusLine_1,5,Apple 34 Bus Station,8.6
BusLine_1,6,Happy 41 Bus Station,8.6
BusLine_1,7,Grape 23 Bus Station,8.6
BusLine_1,8,Grape 28 Bus Station,8.6
BusLine_2,1,Happy 8 Bus Station,6.0
BusLine_2,2,Cat 11 Bus Station,6.0
BusLine_2,3,Banana 7 Bus Station,6.0
BusLine_2,4,Banana 31 Bus Station,6.0
BusLine_2,5,Cat 15 Bus Station,6.0
BusLine_2,6,Cat 23 Bus Station,6.0
BusLine_2,7,Happy 41 Bus Station,6.0
BusLine_3,1,Dog 1 Bus Station,2.0
BusLine_3,2,Grape 23 Bus Station,2.0
BusLine_4,1,Apple 31 Bus Station,6.6
BusLine_4,2,Fruit 14 Bus Station,6.6
BusLine_4,3,Apple 3 Bus Station,6.6
BusLine_4,4,Cat 11 Bus Station,6.6
BusLine_4,5,Apple 44 Bus Station,6.6
BusLine_4,6,Egg 6 Bus Station,6.6
BusLine_4,7,Dog 40 Bus Station,6.6
BusLine_4,8,Grape 17 Bus Station,6.6
BusLine_4,9,Apple 19 Bus Station,6.6
BusLine_4,10,Happy 30 Bus Station,6.6
BusLine_5,1,Banana 17 Bus Station,10.4
BusLine_5,2,Grape 1 Bus Station,10.4
BusLine_5,3,Dog 40 Bus Station,10.4
BusLine_5,4,Apple 39 Bus Station,10.4
BusLine_5,5,Apple 44 Bus Station,10.4
BusLine_5,6,Fruit 13 Bus Station,10.4
BusLine_5,7,Egg 26 Bus Station,10.4
BusLine_5,8,Cat 23 Bus Station,10.4
BusLine_6,1,Apple 39 Bus Station,9.7
BusLine_6,2,Apple 44 Bus Station,9.7
BusLine_6,3,Dog 40 Bus Station,9.7
BusLine_6,4,Apple 3 Bus Station,9.7
BusLine_6,5,Grape 17 Bus Station,9.7
BusLine_6,6,Cat 23 Bus Station,9.7
BusLine_6,7,Egg 5 Bus Station,9.7
BusLine_7,1,Egg 26 Bus Station,7.7
BusLine_7,2,Happy 41 Bus Station,7.7
BusLine_7,3,Grape 15 Bus Station,7.7
BusLine_7,4,Grape 20 Bus Station,7.7
BusLine_7,5,Apple 46 Bus Station,7.7
BusLine_7,6,Egg 1 Bus Station,7.7
BusLine_7,7,Grape 28 Bus Station,7.7
BusLine_7,8,Dog 3 Bus Station,7.7
BusLine_7,9,Fruit 37 Bus Station,7.7
BusLine_8,1,Banana 41 Bus Station,3.2
BusLine_8,2,Fruit 37 Bus Station,3.2
BusLine_8,3,Dog 3 Bus Station,3.2
BusLine_8,4,Dog 19 Bus Station,3.2
BusLine_8,5,Grape 8 Bus Station,3.2
BusLine_8,6,Happy 25 Bus Station,3.2
BusLine_8,7,Egg 1 Bus Station,3.2
BusLine_9,1,Fruit 6 Bus Station,10.6
BusLine_9,2,Cat 15 Bus Station,10.6
BusLine_9,3,Apple 7 Bus Station,10.6
BusLine_9,4,Cat 23 Bus Station,10.6
BusLine_9,5,Dog 1 Bus Station,10.6
BusLine_9,6,Egg 21 Bus Station,10.6
BusLine_9,7,Dog 19 Bus Station,10.6
BusLine_9,8,Fruit 37 Bus Station,10.6
BusLine_9,9,Happy 20 Bus Station,10.6
BusLine_10,1,Egg 21 Bus Station,14.3
BusLine_10,2,Grape 18 Bus Station,14.3
BusLine_10,3,Apple 34 Bus Station,14.3
BusLine_10,4,Happy 5 Bus Station,14.3
BusLine_10,5,Cat 1 Bus Station,14.3
BusLine_11,1,Egg 25 Bus Station,16.8
BusLine_11,2,Grape 8 Bus Station,16.8
BusLine_11,3,Egg 21 Bus Station,16.8
BusLine_11,4,Apple 7 Bus Station,16.8
BusLine_11,5,Fruit 6 Bus Station,16.8
BusLine_11,6,Banana 7 Bus Station,16.8
BusLine_11,7,Happy 8 Bus Station,16.8
BusLine_11,8,Cat 7 Bus Station,16.8
BusLine_11,9,Banana 29 Bus Station,16.8
BusLine_12,1,Apple 3 Bus Station,9.0
BusLine_12,2,Banana 7 Bus Station,9.0
BusLine_12,3,Apple 34 Bus Station,9.0
BusLine_12,4,Grape 20 Bus Station,9.0
BusLine_12,5,Grape 18 Bus Station,9.0
BusLine_13,1,Cat 15 Bus Station,8.4
BusLine_13,2,Cat 11 Bus Station,8.4
BusLine_13,3,Dog 40 Bus Station,8.4
BusLine_13,4,Grape 1 Bus Station,8.4
BusLine_13,5,Happy 5 Bus Station,8.4
BusLine_13,6,Happy 31 Bus Station,8.4
BusLine_13,7,Cat 1 Bus Station,8.4
BusLine_13,8,Banana 29 Bus Station,8.4
BusLine_13,9,Fruit 36 Bus Station,8.4
BusLine_13,10,Grape 24 Bus Station,8.4
BusLine_14,1,Apple 19 Bus Station,14.7
BusLine_14,2,Happy 41 Bus Station,14.7
BusLine_14,3,Banana 24 Bus Station,14.7
BusLine_14,4,Dog 19 Bus Station,14.7
BusLine_14,5,Apple 40 Bus Station,14.7
BusLine_15,1,Fruit 14 Bus Station,6.0
BusLine_15,2,Banana 7 Bus Station,6.0
BusLine_15,3,Cat 15 Bus Station,6.0
BusLine_15,4,Apple 44 Bus Station,6.0
BusLine_15,5,Dog 40 Bus Station,6.0
BusLine_15,6,Happy 30 Bus Station,6.0
BusLine_15,7,Grape 1 Bus Station,6.0
