Landmark_Name,Type,Abbreviation,Latitude,Longitude
Dog 1 Bus Station,Bus Station,BS,22.342179,114.022098
Fruit 1 Residential Building,Residential Building,RB,22.26245,113.605585
Fruit 2 Residential Building,Residential Building,RB,22.266487,113.537045
Egg 1 Bus Station,Bus Station,BS,22.123293,114.137817
Grape 1 Bus Station,Bus Station,BS,22.318523,113.657689
Happy 1 Residential Building,Residential Building,RB,22.202186,113.767138
Grape 2 Shopping Mall,Shopping Mall,SM,22.304608,113.786586
Banana 1 Shopping Mall,Shopping Mall,SM,22.115378,114.063894
Banana 2 Shopping Mall,Shopping Mall,SM,22.111861,113.587476
Dog 2 Recreation Park,Recreation Park,RP,22.124031,113.656088
Cat 1 Bus Station,Bus Station,BS,22.106664,113.584021
Banana 3 Shopping Mall,Shopping Mall,SM,22.293822,113.825913
Fruit 3 Shopping Mall,Shopping Mall,SM,22.241155,114.135645
Cat 2 Recreation Park,Recreation Park,RP,22.277198,114.244576
Egg 2 Shopping Mall,Shopping Mall,SM,22.133558,113.552378
Grape 3 Shopping Mall,Shopping Mall,SM,22.170962,113.606066
Cat 3 Train Station,Train Station,TS,22.134344,114.023545
Egg 3 Train Station,Train Station,TS,22.270854,113.499672
Banana 4 Residential Building,Residential Building,RB,22.324953,113.706508
Egg 4 Shopping Mall,Shopping Mall,SM,22.27053,114.127892
Fruit 4 Train Station,Train Station,TS,22.189393,114.269033
Dog 3 Bus Station,Bus Station,BS,22.141759,114.217487
Fruit 5 Residential Building,Residential Building,RB,22.169509,113.740668
Fruit 6 Bus Station,Bus Station,BS,22.243122,113.861008
Cat 4 Residential Building,Residential Building,RB,22.116531,113.641836
Banana 5 Train Station,Train Station,TS,22.106926,113.555642
Grape 4 Recreation Park,Recreation Park,RP,22.219042,114.202125
Cat 5 Train Station,Train Station,TS,22.311529,113.80266
Happy 2 Residential Building,Residential Building,RB,22.217422,114.267984
Apple 1 Recreation Park,Recreation Park,RP,22.118846,114.119271
Apple 2 Residential Building,Residential Building,RB,22.32525,113.771795
Dog 4 Recreation Park,Recreation Park,RP,22.330482,114.105654
Dog 5 Recreation Park,Recreation Park,RP,22.123565,113.617867
Fruit 7 Recreation Park,Recreation Park,RP,22.172613,114.157857
Fruit 8 Recreation Park,Recreation Park,RP,22.092399,114.172364
Dog 6 Shopping Mall,Shopping Mall,SM,22.184667,113.812442
Grape 5 Residential Building,Residential Building,RB,22.294714,114.069245
Egg 5 Bus Station,Bus Station,BS,22.091446,114.052782
Apple 3 Bus Station,Bus Station,BS,22.171112,113.774126
Egg 6 Bus Station,Bus Station,BS,22.196554,113.740565
Dog 7 Residential Building,Residential Building,RB,22.225309,114.229114
Fruit 9 Train Station,Train Station,TS,22.231891,113.798928
Fruit 10 Residential Building,Residential Building,RB,22.333636,113.532451
Apple 4 Train Station,Train Station,TS,22.281765,114.250156
Dog 8 Train Station,Train Station,TS,22.316797,113.706814
