Landmark_Name,Type,Abbreviation,Latitude,Longitude
Happy 1 Shopping Mall,Shopping Mall,SM,22.140168,113.827805
Dog 1 Shopping Mall,Shopping Mall,SM,22.195878,114.193513
Egg 1 Train Station,Train Station,TS,22.2187,114.080993
Cat 1 Residential Building,Residential Building,RB,22.288818,113.701107
Happy 2 Shopping Mall,Shopping Mall,SM,22.312355,114.007252
Egg 2 Bus Station,Bus Station,BS,22.203883,113.682977
Apple 1 Train Station,Train Station,TS,22.310785,113.985033
Dog 2 Train Station,Train Station,TS,22.260274,113.5732
Dog 3 Train Station,Train Station,TS,22.288776,113.917168
Apple 2 Residential Building,Residential Building,RB,22.093154,113.491628
Banana 1 Residential Building,Residential Building,RB,22.094694,113.552186
Grape 1 Recreation Park,Recreation Park,RP,22.089016,113.950685
Cat 2 Shopping Mall,Shopping Mall,SM,22.348877,114.227934
Cat 3 Train Station,Train Station,TS,22.34159,114.02881
Happy 3 Train Station,Train Station,TS,22.101818,113.965421
Happy 4 Bus Station,Bus Station,BS,22.319989,113.603089
Banana 2 Shopping Mall,Shopping Mall,SM,22.124519,113.991777
Egg 3 Train Station,Train Station,TS,22.317897,114.183874
Egg 4 Recreation Park,Recreation Park,RP,22.157298,113.635995
Apple 3 Residential Building,Residential Building,RB,22.247208,113.696497
Cat 4 Recreation Park,Recreation Park,RP,22.175115,113.710641
Banana 3 Shopping Mall,Shopping Mall,SM,22.093297,113.625522
Egg 5 Residential Building,Residential Building,RB,22.111225,114.152885
Happy 5 Shopping Mall,Shopping Mall,SM,22.131653,113.564704
Cat 5 Train Station,Train Station,TS,22.3164,114.160056
Dog 4 Bus Station,Bus Station,BS,22.20642,114.054876
Banana 4 Bus Station,Bus Station,BS,22.348013,113.737952
Egg 6 Shopping Mall,Shopping Mall,SM,22.230367,113.86972
Egg 7 Residential Building,Residential Building,RB,22.128919,113.692555
Cat 6 Train Station,Train Station,TS,22.213044,113.844828
Happy 6 Shopping Mall,Shopping Mall,SM,22.129714,113.796918
Happy 7 Residential Building,Residential Building,RB,22.228502,114.178073
Egg 8 Bus Station,Bus Station,BS,22.346938,114.207674
Dog 5 Bus Station,Bus Station,BS,22.134227,114.107877
Happy 8 Bus Station,Bus Station,BS,22.347054,114.029251
Dog 6 Bus Station,Bus Station,BS,22.121143,113.778843
Egg 9 Residential Building,Residential Building,RB,22.257929,114.039917
Cat 7 Bus Station,Bus Station,BS,22.216544,114.124364
Egg 10 Recreation Park,Recreation Park,RP,22.191605,113.624686
Banana 5 Train Station,Train Station,TS,22.258561,113.91153
Cat 8 Shopping Mall,Shopping Mall,SM,22.213493,114.209019
Egg 11 Train Station,Train Station,TS,22.196699,113.945405
Cat 9 Residential Building,Residential Building,RB,22.242756,113.792766
Banana 6 Shopping Mall,Shopping Mall,SM,22.302308,114.128383
Happy 9 Shopping Mall,Shopping Mall,SM,22.104731,114.098722
Grape 2 Bus Station,Bus Station,BS,22.305216,113.822959
Cat 10 Train Station,Train Station,TS,22.31079,114.250248
Dog 7 Residential Building,Residential Building,RB,22.112324,114.189558
Banana 7 Residential Building,Residential Building,RB,22.212838,113.688197
Fruit 1 Residential Building,Residential Building,RB,22.164033,113.817824
Fruit 2 Bus Station,Bus Station,BS,22.316079,114.069288
Apple 4 Recreation Park,Recreation Park,RP,22.281074,113.711067
Dog 8 Shopping Mall,Shopping Mall,SM,22.187082,114.245981
Cat 11 Residential Building,Residential Building,RB,22.182015,113.631867
Fruit 3 Recreation Park,Recreation Park,RP,22.259493,113.780688
Dog 9 Residential Building,Residential Building,RB,22.167731,114.112602
Apple 5 Shopping Mall,Shopping Mall,SM,22.106003,114.28231
Cat 12 Shopping Mall,Shopping Mall,SM,22.186212,113.638611
Fruit 4 Train Station,Train Station,TS,22.204501,114.124167
Egg 12 Train Station,Train Station,TS,22.146594,113.604653
Grape 3 Shopping Mall,Shopping Mall,SM,22.333884,114.083603
Grape 4 Bus Station,Bus Station,BS,22.163469,114.219949
Dog 10 Bus Station,Bus Station,BS,22.156941,113.605846
Banana 8 Train Station,Train Station,TS,22.089559,113.950655
Apple 6 Train Station,Train Station,TS,22.339311,114.195928
Egg 13 Train Station,Train Station,TS,22.29348,113.800104
Happy 10 Recreation Park,Recreation Park,RP,22.115825,113.693287
Fruit 5 Train Station,Train Station,TS,22.284558,113.622104
Fruit 6 Residential Building,Residential Building,RB,22.270642,114.220188
Banana 9 Bus Station,Bus Station,BS,22.210179,113.601805
Cat 13 Shopping Mall,Shopping Mall,SM,22.178122,113.537664
Egg 14 Recreation Park,Recreation Park,RP,22.283873,113.584469
Banana 10 Recreation Park,Recreation Park,RP,22.289922,113.837851
Apple 7 Residential Building,Residential Building,RB,22.159914,113.600019
Grape 5 Residential Building,Residential Building,RB,22.201806,114.167382
Dog 11 Recreation Park,Recreation Park,RP,22.263278,113.661266
Banana 11 Residential Building,Residential Building,RB,22.180158,113.802045
Egg 15 Bus Station,Bus Station,BS,22.22192,113.548797
Happy 11 Train Station,Train Station,TS,22.104403,113.503884
Cat 14 Recreation Park,Recreation Park,RP,22.106146,113.847098
Egg 16 Shopping Mall,Shopping Mall,SM,22.260837,114.135688
Grape 6 Train Station,Train Station,TS,22.342377,113.694761
Apple 8 Bus Station,Bus Station,BS,22.083959,113.628548
Grape 7 Shopping Mall,Shopping Mall,SM,22.256369,114.007907
Cat 15 Recreation Park,Recreation Park,RP,22.332802,114.148744
Apple 9 Residential Building,Residential Building,RB,22.104562,114.186328
Apple 10 Recreation Park,Recreation Park,RP,22.3274,113.832429
Egg 17 Recreation Park,Recreation Park,RP,22.240023,114.257622
Grape 8 Train Station,Train Station,TS,22.31422,114.295829
Happy 12 Recreation Park,Recreation Park,RP,22.246908,113.922759
Happy 13 Recreation Park,Recreation Park,RP,22.151072,113.686519
Grape 9 Residential Building,Residential Building,RB,22.188026,113.830929
Happy 14 Shopping Mall,Shopping Mall,SM,22.315663,113.582999
Dog 12 Train Station,Train Station,TS,22.281267,113.610056
Grape 10 Recreation Park,Recreation Park,RP,22.239447,113.629737
Grape 11 Residential Building,Residential Building,RB,22.287731,113.792454
Happy 15 Recreation Park,Recreation Park,RP,22.226465,113.615675
Grape 12 Bus Station,Bus Station,BS,22.261887,113.863319
Happy 16 Bus Station,Bus Station,BS,22.339352,114.233949
Cat 16 Shopping Mall,Shopping Mall,SM,22.203856,113.790478
Fruit 7 Bus Station,Bus Station,BS,22.140819,113.591295
Banana 12 Bus Station,Bus Station,BS,22.092432,114.100841
Banana 13 Residential Building,Residential Building,RB,22.087381,113.763082
Cat 17 Shopping Mall,Shopping Mall,SM,22.179892,114.299374
Banana 14 Recreation Park,Recreation Park,RP,22.28389,113.685787
Apple 11 Train Station,Train Station,TS,22.192367,113.888996
Banana 15 Train Station,Train Station,TS,22.081582,113.681907
Dog 13 Bus Station,Bus Station,BS,22.303451,114.225149
Egg 18 Bus Station,Bus Station,BS,22.314224,113.914028
Apple 12 Shopping Mall,Shopping Mall,SM,22.312019,113.647377
Grape 13 Shopping Mall,Shopping Mall,SM,22.143328,114.057946
Fruit 8 Shopping Mall,Shopping Mall,SM,22.093015,113.754986
Happy 17 Bus Station,Bus Station,BS,22.141331,114.191213
Dog 14 Shopping Mall,Shopping Mall,SM,22.226416,113.701301
Dog 15 Residential Building,Residential Building,RB,22.146661,114.080264
Apple 13 Shopping Mall,Shopping Mall,SM,22.124736,113.541346
Banana 16 Residential Building,Residential Building,RB,22.172821,113.866
Grape 14 Shopping Mall,Shopping Mall,SM,22.345662,114.304106
Banana 17 Train Station,Train Station,TS,22.10623,113.835107
Cat 18 Residential Building,Residential Building,RB,22.21269,114.004539
Happy 18 Shopping Mall,Shopping Mall,SM,22.143462,113.778424
Happy 19 Shopping Mall,Shopping Mall,SM,22.279655,113.833497
