Line_ID,From_Station,To_Station,Price
TrainLine_1,Egg 23 Train Station,Dog 13 Train Station,6.71
TrainLine_1,Dog 13 Train Station,Happy 24 Train Station,9.84
TrainLine_1,Happy 24 Train Station,Cat 5 Train Station,11.24
TrainLine_1,Cat 5 Train Station,Fruit 23 Train Station,7.22
TrainLine_1,Fruit 23 Train Station,Dog 15 Train Station,6.82
TrainLine_1,Dog 15 Train Station,Grape 10 Train Station,20.96
TrainLine_1,Grape 10 Train Station,Fruit 16 Train Station,5.17
TrainLine_2,Dog 16 Train Station,Apple 5 Train Station,5.69
TrainLine_2,Apple 5 Train Station,Egg 23 Train Station,3.51
TrainLine_2,Egg 23 Train Station,Fruit 18 Train Station,4.44
TrainLine_2,Fruit 18 Train Station,Egg 28 Train Station,2.76
TrainLine_2,Egg 28 Train Station,Happy 24 Train Station,1.28
TrainLine_2,Happy 24 Train Station,Banana 39 Train Station,21.69
TrainLine_2,Banana 39 Train Station,Cat 20 Train Station,8.27
TrainLine_2,Cat 20 Train Station,Banana 5 Train Station,6.11
TrainLine_2,Banana 5 Train Station,Dog 13 Train Station,14.47
TrainLine_2,Dog 13 Train Station,Dog 26 Train Station,4.77
TrainLine_3,Banana 39 Train Station,Banana 5 Train Station,2.69
TrainLine_3,Banana 5 Train Station,Cat 20 Train Station,6.11
TrainLine_3,Cat 20 Train Station,Apple 5 Train Station,9.35
TrainLine_3,Apple 5 Train Station,Dog 26 Train Station,9.69
TrainLine_3,Dog 26 Train Station,Egg 3 Train Station,15.68
TrainLine_3,Egg 3 Train Station,Cat 22 Train Station,7.03
TrainLine_3,Cat 22 Train Station,Banana 25 Train Station,15.24
TrainLine_3,Banana 25 Train Station,Banana 32 Train Station,20.87
TrainLine_3,Banana 32 Train Station,Dog 16 Train Station,1.93
TrainLine_3,Dog 16 Train Station,Happy 45 Train Station,19.29
TrainLine_3,Happy 45 Train Station,Dog 13 Train Station,6.48
TrainLine_3,Dog 13 Train Station,Happy 19 Train Station,14.8
TrainLine_3,Happy 19 Train Station,Grape 26 Train Station,0.99
TrainLine_3,Grape 26 Train Station,Fruit 18 Train Station,6.32
TrainLine_4,Banana 5 Train Station,Egg 3 Train Station,13.86
TrainLine_4,Egg 3 Train Station,Banana 32 Train Station,0.82
TrainLine_4,Banana 32 Train Station,Egg 20 Train Station,26.18
TrainLine_4,Egg 20 Train Station,Dog 12 Train Station,24.83
TrainLine_4,Dog 12 Train Station,Fruit 9 Train Station,19.8
TrainLine_4,Fruit 9 Train Station,Grape 13 Train Station,8.1
TrainLine_5,Egg 9 Train Station,Apple 6 Train Station,4.57
TrainLine_5,Apple 6 Train Station,Egg 7 Train Station,6.14
TrainLine_5,Egg 7 Train Station,Happy 26 Train Station,8.28
TrainLine_5,Happy 26 Train Station,Dog 14 Train Station,9.47
TrainLine_5,Dog 14 Train Station,Banana 25 Train Station,18.66
TrainLine_5,Banana 25 Train Station,Fruit 18 Train Station,17.71
TrainLine_5,Fruit 18 Train Station,Cat 22 Train Station,5.15
TrainLine_5,Cat 22 Train Station,Dog 12 Train Station,6.14
TrainLine_5,Dog 12 Train Station,Happy 19 Train Station,3.4
TrainLine_6,Apple 6 Train Station,Egg 7 Train Station,6.14
TrainLine_6,Egg 7 Train Station,Dog 27 Train Station,1.18
TrainLine_6,Dog 27 Train Station,Cat 13 Train Station,5.23
TrainLine_6,Cat 13 Train Station,Happy 26 Train Station,3.85
TrainLine_6,Happy 26 Train Station,Egg 16 Train Station,9.76
TrainLine_6,Egg 16 Train Station,Dog 14 Train Station,2.88
TrainLine_7,Banana 30 Train Station,Fruit 16 Train Station,1.82
TrainLine_7,Fruit 16 Train Station,Happy 26 Train Station,9.19
TrainLine_7,Happy 26 Train Station,Egg 9 Train Station,11.25
TrainLine_7,Egg 9 Train Station,Banana 15 Train Station,1.41
