Line_ID,From_Station,To_Station,Price
TrainLine_1,Dog 32 Train Station,Apple 37 Train Station,1.66
TrainLine_1,Apple 37 Train Station,Dog 2 Train Station,2.85
TrainLine_1,Dog 2 Train Station,Fruit 15 Train Station,10.06
TrainLine_1,Fruit 15 Train Station,Egg 26 Train Station,10.71
TrainLine_1,Egg 26 Train Station,Grape 6 Train Station,11.15
TrainLine_1,Grape 6 Train Station,Egg 13 Train Station,9.29
TrainLine_1,Egg 13 Train Station,Fruit 17 Train Station,21.54
TrainLine_1,Fruit 17 Train Station,Happy 29 Train Station,13.93
TrainLine_2,Banana 15 Train Station,Happy 30 Train Station,1.75
TrainLine_3,Fruit 17 Train Station,Cat 3 Train Station,7.48
TrainLine_3,Cat 3 Train Station,Apple 1 Train Station,4.28
TrainLine_4,Apple 6 Train Station,Egg 3 Train Station,1.97
TrainLine_4,Egg 3 Train Station,Cat 5 Train Station,1.91
TrainLine_4,Cat 5 Train Station,Cat 29 Train Station,9.1
TrainLine_4,Cat 29 Train Station,Fruit 4 Train Station,0.63
TrainLine_4,Fruit 4 Train Station,Fruit 17 Train Station,6.18
TrainLine_4,Fruit 17 Train Station,Cat 3 Train Station,7.48
TrainLine_4,Cat 3 Train Station,Apple 1 Train Station,4.28
TrainLine_4,Apple 1 Train Station,Happy 36 Train Station,13.86
TrainLine_4,Happy 36 Train Station,Happy 42 Train Station,7.64
TrainLine_4,Happy 42 Train Station,Dog 3 Train Station,23.32
TrainLine_4,Dog 3 Train Station,Happy 40 Train Station,2.05
TrainLine_4,Happy 40 Train Station,Banana 5 Train Station,0.81
TrainLine_5,Banana 44 Train Station,Egg 11 Train Station,10.44
TrainLine_5,Egg 11 Train Station,Happy 40 Train Station,5.7
TrainLine_5,Happy 40 Train Station,Dog 3 Train Station,2.05
TrainLine_5,Dog 3 Train Station,Grape 23 Train Station,15.7
TrainLine_5,Grape 23 Train Station,Dog 19 Train Station,20.26
TrainLine_5,Dog 19 Train Station,Banana 17 Train Station,18.73
TrainLine_5,Banana 17 Train Station,Egg 13 Train Station,15.24
TrainLine_5,Egg 13 Train Station,Grape 26 Train Station,10.81
TrainLine_5,Grape 26 Train Station,Egg 26 Train Station,1.39
TrainLine_5,Egg 26 Train Station,Fruit 5 Train Station,9.0
TrainLine_5,Fruit 5 Train Station,Dog 12 Train Station,1.0
TrainLine_5,Dog 12 Train Station,Egg 12 Train Station,10.78
TrainLine_5,Egg 12 Train Station,Fruit 15 Train Station,1.86
TrainLine_5,Fruit 15 Train Station,Banana 18 Train Station,2.97
TrainLine_6,Cat 5 Train Station,Egg 3 Train Station,1.91
TrainLine_6,Egg 3 Train Station,Apple 6 Train Station,1.97
TrainLine_6,Apple 6 Train Station,Cat 10 Train Station,4.91
TrainLine_7,Happy 28 Train Station,Egg 11 Train Station,7.62
TrainLine_7,Egg 11 Train Station,Apple 26 Train Station,1.0
TrainLine_7,Apple 26 Train Station,Happy 36 Train Station,10.19
TrainLine_7,Happy 36 Train Station,Fruit 17 Train Station,8.14
TrainLine_7,Fruit 17 Train Station,Apple 1 Train Station,7.87
TrainLine_7,Apple 1 Train Station,Cat 30 Train Station,21.63
TrainLine_7,Cat 30 Train Station,Cat 3 Train Station,20.94
TrainLine_7,Cat 3 Train Station,Apple 33 Train Station,4.65
TrainLine_7,Apple 33 Train Station,Grape 17 Train Station,15.76
TrainLine_7,Grape 17 Train Station,Apple 6 Train Station,9.91
TrainLine_7,Apple 6 Train Station,Dog 33 Train Station,6.44
TrainLine_8,Dog 12 Train Station,Fruit 5 Train Station,1.0
TrainLine_8,Fruit 5 Train Station,Grape 6 Train Station,7.43
TrainLine_8,Grape 6 Train Station,Apple 38 Train Station,11.81
TrainLine_8,Apple 38 Train Station,Egg 26 Train Station,0.95
TrainLine_8,Egg 26 Train Station,Grape 26 Train Station,1.39
TrainLine_8,Grape 26 Train Station,Happy 37 Train Station,8.74
TrainLine_8,Happy 37 Train Station,Egg 13 Train Station,2.15
TrainLine_8,Egg 13 Train Station,Cat 6 Train Station,7.36
TrainLine_8,Cat 6 Train Station,Dog 19 Train Station,10.17
TrainLine_9,Egg 1 Train Station,Happy 36 Train Station,5.39
TrainLine_9,Happy 36 Train Station,Cat 3 Train Station,15.17
TrainLine_9,Cat 3 Train Station,Apple 26 Train Station,12.53
TrainLine_9,Apple 26 Train Station,Banana 5 Train Station,4.77
TrainLine_9,Banana 5 Train Station,Dog 3 Train Station,2.46
TrainLine_9,Dog 3 Train Station,Apple 11 Train Station,8.04
TrainLine_9,Apple 11 Train Station,Happy 37 Train Station,10.18
TrainLine_9,Happy 37 Train Station,Grape 26 Train Station,8.74
TrainLine_9,Grape 26 Train Station,Banana 15 Train Station,9.08
TrainLine_9,Banana 15 Train Station,Fruit 5 Train Station,16.93
TrainLine_10,Dog 2 Train Station,Fruit 5 Train Station,4.37
TrainLine_10,Fruit 5 Train Station,Banana 15 Train Station,16.93
TrainLine_10,Banana 15 Train Station,Dog 3 Train Station,25.08
TrainLine_10,Dog 3 Train Station,Apple 26 Train Station,6.75
TrainLine_10,Apple 26 Train Station,Banana 19 Train Station,1.62
TrainLine_10,Banana 19 Train Station,Banana 40 Train Station,11.06
TrainLine_10,Banana 40 Train Station,Grape 23 Train Station,0.91
TrainLine_10,Grape 23 Train Station,Banana 8 Train Station,1.35
TrainLine_10,Banana 8 Train Station,Happy 28 Train Station,1.62
TrainLine_10,Happy 28 Train Station,Happy 3 Train Station,0.13
TrainLine_10,Happy 3 Train Station,Apple 33 Train Station,21.85
