Line_ID,Stop_Order,Station_Name
TrainLine_1,1,Egg 23 Train Station
TrainLine_1,2,Dog 13 Train Station
TrainLine_1,3,Happy 24 Train Station
TrainLine_1,4,Cat 5 Train Station
TrainLine_1,5,Fruit 23 Train Station
TrainLine_1,6,Dog 15 Train Station
TrainLine_1,7,Grape 10 Train Station
TrainLine_1,8,Fruit 16 Train Station
TrainLine_2,1,Dog 16 Train Station
TrainLine_2,2,Apple 5 Train Station
TrainLine_2,3,Egg 23 Train Station
TrainLine_2,4,Fruit 18 Train Station
TrainLine_2,5,Egg 28 Train Station
TrainLine_2,6,Happy 24 Train Station
TrainLine_2,7,Banana 39 Train Station
TrainLine_2,8,Cat 20 Train Station
TrainLine_2,9,Banana 5 Train Station
TrainLine_2,10,Dog 13 Train Station
TrainLine_2,11,Dog 26 Train Station
TrainLine_3,1,Banana 39 Train Station
TrainLine_3,2,Banana 5 Train Station
TrainLine_3,3,Cat 20 Train Station
TrainLine_3,4,Apple 5 Train Station
TrainLine_3,5,Dog 26 Train Station
TrainLine_3,6,Egg 3 Train Station
TrainLine_3,7,Cat 22 Train Station
TrainLine_3,8,Banana 25 Train Station
TrainLine_3,9,Banana 32 Train Station
TrainLine_3,10,Dog 16 Train Station
TrainLine_3,11,Happy 45 Train Station
TrainLine_3,12,Dog 13 Train Station
TrainLine_3,13,Happy 19 Train Station
TrainLine_3,14,Grape 26 Train Station
TrainLine_3,15,Fruit 18 Train Station
TrainLine_4,1,Banana 5 Train Station
TrainLine_4,2,Egg 3 Train Station
TrainLine_4,3,Banana 32 Train Station
TrainLine_4,4,Egg 20 Train Station
TrainLine_4,5,Dog 12 Train Station
TrainLine_4,6,Fruit 9 Train Station
TrainLine_4,7,Grape 13 Train Station
TrainLine_5,1,Egg 9 Train Station
TrainLine_5,2,Apple 6 Train Station
TrainLine_5,3,Egg 7 Train Station
TrainLine_5,4,Happy 26 Train Station
TrainLine_5,5,Dog 14 Train Station
TrainLine_5,6,Banana 25 Train Station
TrainLine_5,7,Fruit 18 Train Station
TrainLine_5,8,Cat 22 Train Station
TrainLine_5,9,Dog 12 Train Station
TrainLine_5,10,Happy 19 Train Station
TrainLine_6,1,Apple 6 Train Station
TrainLine_6,2,Egg 7 Train Station
TrainLine_6,3,Dog 27 Train Station
TrainLine_6,4,Cat 13 Train Station
TrainLine_6,5,Happy 26 Train Station
TrainLine_6,6,Egg 16 Train Station
TrainLine_6,7,Dog 14 Train Station
TrainLine_7,1,Banana 30 Train Station
TrainLine_7,2,Fruit 16 Train Station
TrainLine_7,3,Happy 26 Train Station
TrainLine_7,4,Egg 9 Train Station
TrainLine_7,5,Banana 15 Train Station
TrainLine_7,6,Egg 7 Train Station
TrainLine_7,7,Grape 25 Train Station
TrainLine_7,8,Dog 15 Train Station
TrainLine_7,9,Apple 16 Train Station
TrainLine_7,10,Fruit 26 Train Station
TrainLine_7,11,Banana 27 Train Station
TrainLine_7,12,Dog 29 Train Station
TrainLine_7,13,Banana 25 Train Station
TrainLine_7,14,Dog 26 Train Station
TrainLine_7,15,Dog 8 Train Station
TrainLine_8,1,Apple 5 Train Station
TrainLine_8,2,Cat 22 Train Station
TrainLine_8,3,Egg 23 Train Station
TrainLine_8,4,Fruit 18 Train Station
TrainLine_8,5,Cat 20 Train Station
TrainLine_8,6,Dog 13 Train Station
TrainLine_9,1,Fruit 4 Train Station
TrainLine_9,2,Apple 4 Train Station
TrainLine_9,3,Happy 33 Train Station
TrainLine_9,4,Apple 12 Train Station
TrainLine_10,1,Grape 10 Train Station
TrainLine_10,2,Dog 35 Train Station
TrainLine_10,3,Egg 7 Train Station
TrainLine_10,4,Dog 27 Train Station
TrainLine_10,5,Egg 9 Train Station
TrainLine_10,6,Grape 25 Train Station
TrainLine_10,7,Apple 16 Train Station
TrainLine_10,8,Egg 20 Train Station
TrainLine_10,9,Banana 27 Train Station
TrainLine_10,10,Grape 13 Train Station
TrainLine_10,11,Cat 5 Train Station
TrainLine_10,12,Fruit 19 Train Station
TrainLine_10,13,Cat 20 Train Station
TrainLine_10,14,Happy 24 Train Station
