Line_ID,Stop_Order,Station_Name
TrainLine_1,1,Dog 32 Train Station
TrainLine_1,2,Apple 37 Train Station
TrainLine_1,3,Dog 2 Train Station
TrainLine_1,4,Fruit 15 Train Station
TrainLine_1,5,Egg 26 Train Station
TrainLine_1,6,Grape 6 Train Station
TrainLine_1,7,Egg 13 Train Station
TrainLine_1,8,Fruit 17 Train Station
TrainLine_1,9,Happy 29 Train Station
TrainLine_2,1,Banana 15 Train Station
TrainLine_2,2,Happy 30 Train Station
TrainLine_3,1,Fruit 17 Train Station
TrainLine_3,2,Cat 3 Train Station
TrainLine_3,3,Apple 1 Train Station
TrainLine_4,1,Apple 6 Train Station
TrainLine_4,2,Egg 3 Train Station
TrainLine_4,3,Cat 5 Train Station
TrainLine_4,4,Cat 29 Train Station
TrainLine_4,5,Fruit 4 Train Station
TrainLine_4,6,Fruit 17 Train Station
TrainLine_4,7,Cat 3 Train Station
TrainLine_4,8,Apple 1 Train Station
TrainLine_4,9,Happy 36 Train Station
TrainLine_4,10,Happy 42 Train Station
TrainLine_4,11,Dog 3 Train Station
TrainLine_4,12,Happy 40 Train Station
TrainLine_4,13,Banana 5 Train Station
TrainLine_5,1,Banana 44 Train Station
TrainLine_5,2,Egg 11 Train Station
TrainLine_5,3,Happy 40 Train Station
TrainLine_5,4,Dog 3 Train Station
TrainLine_5,5,Grape 23 Train Station
TrainLine_5,6,Dog 19 Train Station
TrainLine_5,7,Banana 17 Train Station
TrainLine_5,8,Egg 13 Train Station
TrainLine_5,9,Grape 26 Train Station
TrainLine_5,10,Egg 26 Train Station
TrainLine_5,11,Fruit 5 Train Station
TrainLine_5,12,Dog 12 Train Station
TrainLine_5,13,Egg 12 Train Station
TrainLine_5,14,Fruit 15 Train Station
TrainLine_5,15,Banana 18 Train Station
TrainLine_6,1,Cat 5 Train Station
TrainLine_6,2,Egg 3 Train Station
TrainLine_6,3,Apple 6 Train Station
TrainLine_6,4,Cat 10 Train Station
TrainLine_7,1,Happy 28 Train Station
TrainLine_7,2,Egg 11 Train Station
TrainLine_7,3,Apple 26 Train Station
TrainLine_7,4,Happy 36 Train Station
TrainLine_7,5,Fruit 17 Train Station
TrainLine_7,6,Apple 1 Train Station
TrainLine_7,7,Cat 30 Train Station
TrainLine_7,8,Cat 3 Train Station
TrainLine_7,9,Apple 33 Train Station
TrainLine_7,10,Grape 17 Train Station
TrainLine_7,11,Apple 6 Train Station
TrainLine_7,12,Dog 33 Train Station
TrainLine_8,1,Dog 12 Train Station
TrainLine_8,2,Fruit 5 Train Station
TrainLine_8,3,Grape 6 Train Station
TrainLine_8,4,Apple 38 Train Station
TrainLine_8,5,Egg 26 Train Station
TrainLine_8,6,Grape 26 Train Station
TrainLine_8,7,Happy 37 Train Station
TrainLine_8,8,Egg 13 Train Station
TrainLine_8,9,Cat 6 Train Station
TrainLine_8,10,Dog 19 Train Station
TrainLine_9,1,Egg 1 Train Station
TrainLine_9,2,Happy 36 Train Station
TrainLine_9,3,Cat 3 Train Station
TrainLine_9,4,Apple 26 Train Station
TrainLine_9,5,Banana 5 Train Station
TrainLine_9,6,Dog 3 Train Station
TrainLine_9,7,Apple 11 Train Station
TrainLine_9,8,Happy 37 Train Station
TrainLine_9,9,Grape 26 Train Station
TrainLine_9,10,Banana 15 Train Station
TrainLine_9,11,Fruit 5 Train Station
TrainLine_10,1,Dog 2 Train Station
TrainLine_10,2,Fruit 5 Train Station
TrainLine_10,3,Banana 15 Train Station
TrainLine_10,4,Dog 3 Train Station
TrainLine_10,5,Apple 26 Train Station
TrainLine_10,6,Banana 19 Train Station
TrainLine_10,7,Banana 40 Train Station
TrainLine_10,8,Grape 23 Train Station
TrainLine_10,9,Banana 8 Train Station
TrainLine_10,10,Happy 28 Train Station
TrainLine_10,11,Happy 3 Train Station
TrainLine_10,12,Apple 33 Train Station
