Landmark_Name,Type,Abbreviation,Latitude,Longitude
Egg 1 Residential Building,Residential Building,RB,22.254483,114.159479
Fruit 1 Recreation Park,Recreation Park,RP,22.169998,113.853531
Egg 2 Train Station,Train Station,TS,22.334471,114.136462
Cat 1 Train Station,Train Station,TS,22.178465,114.008481
Happy 1 Shopping Mall,Shopping Mall,SM,22.326047,113.493937
Egg 3 Train Station,Train Station,TS,22.275158,114.135019
Grape 1 Train Station,Train Station,TS,22.109345,113.724855
Banana 1 Train Station,Train Station,TS,22.340057,114.09701
Fruit 2 Residential Building,Residential Building,RB,22.099424,113.951972
Grape 2 Train Station,Train Station,TS,22.093033,114.178884
Apple 1 Shopping Mall,Shopping Mall,SM,22.127263,114.046106
Apple 2 Train Station,Train Station,TS,22.095444,114.281004
Egg 4 Recreation Park,Recreation Park,RP,22.164396,113.579883
Dog 1 Residential Building,Residential Building,RB,22.089045,113.815358
Happy 2 Shopping Mall,Shopping Mall,SM,22.148191,114.071134
Cat 2 Residential Building,Residential Building,RB,22.290144,114.202793
Grape 3 Recreation Park,Recreation Park,RP,22.348965,114.133712
Apple 3 Recreation Park,Recreation Park,RP,22.264818,114.057674
Cat 3 Recreation Park,Recreation Park,RP,22.24648,113.49926
Egg 5 Train Station,Train Station,TS,22.183546,114.293929
Cat 4 Recreation Park,Recreation Park,RP,22.26393,113.902104
Fruit 3 Bus Station,Bus Station,BS,22.202149,113.55129
Grape 4 Train Station,Train Station,TS,22.216293,114.0456
Egg 6 Recreation Park,Recreation Park,RP,22.269697,114.064172
Happy 3 Recreation Park,Recreation Park,RP,22.141147,113.929662
Egg 7 Bus Station,Bus Station,BS,22.220814,113.788499
Grape 5 Residential Building,Residential Building,RB,22.269328,114.079779
Cat 5 Residential Building,Residential Building,RB,22.238199,113.837099
Dog 2 Shopping Mall,Shopping Mall,SM,22.106409,113.527797
Apple 4 Bus Station,Bus Station,BS,22.297001,113.728839
Egg 8 Shopping Mall,Shopping Mall,SM,22.250257,114.308158
Egg 9 Residential Building,Residential Building,RB,22.347803,114.112475
Fruit 4 Bus Station,Bus Station,BS,22.123543,113.979388
Dog 3 Shopping Mall,Shopping Mall,SM,22.155538,113.752216
Banana 2 Train Station,Train Station,TS,22.280909,113.536231
Apple 5 Train Station,Train Station,TS,22.225592,113.966222
Happy 4 Shopping Mall,Shopping Mall,SM,22.276703,114.167666
Egg 10 Recreation Park,Recreation Park,RP,22.29645,113.844431
Happy 5 Residential Building,Residential Building,RB,22.296079,113.937866
Happy 6 Bus Station,Bus Station,BS,22.326293,114.042808
Happy 7 Recreation Park,Recreation Park,RP,22.266898,113.789378
Fruit 5 Recreation Park,Recreation Park,RP,22.273508,113.884941
Happy 8 Bus Station,Bus Station,BS,22.317938,114.116812
Grape 6 Train Station,Train Station,TS,22.099674,113.913812
Grape 7 Residential Building,Residential Building,RB,22.278078,113.603813
Cat 6 Train Station,Train Station,TS,22.174728,113.827876
Grape 8 Recreation Park,Recreation Park,RP,22.297486,114.269333
Dog 4 Residential Building,Residential Building,RB,22.294255,113.947445
Cat 7 Bus Station,Bus Station,BS,22.105245,113.923841
Fruit 6 Residential Building,Residential Building,RB,22.215171,113.510099
Dog 5 Shopping Mall,Shopping Mall,SM,22.254776,113.771806
Happy 9 Residential Building,Residential Building,RB,22.090448,114.027232
Dog 6 Recreation Park,Recreation Park,RP,22.158347,113.981902
Grape 9 Shopping Mall,Shopping Mall,SM,22.347935,113.899337
Banana 3 Recreation Park,Recreation Park,RP,22.303181,113.933223
Grape 10 Shopping Mall,Shopping Mall,SM,22.136221,114.276481
Grape 11 Train Station,Train Station,TS,22.099002,114.238543
Happy 10 Recreation Park,Recreation Park,RP,22.240878,114.263881
Cat 8 Bus Station,Bus Station,BS,22.125319,113.796566
Happy 11 Recreation Park,Recreation Park,RP,22.103757,113.89948
Fruit 7 Train Station,Train Station,TS,22.331744,113.898223
Grape 12 Recreation Park,Recreation Park,RP,22.098105,114.00706
Banana 4 Bus Station,Bus Station,BS,22.199469,114.118795
Fruit 8 Bus Station,Bus Station,BS,22.197428,114.111323
Fruit 9 Residential Building,Residential Building,RB,22.230179,114.079206
Fruit 10 Recreation Park,Recreation Park,RP,22.238774,113.864087
Egg 11 Recreation Park,Recreation Park,RP,22.182394,113.917004
Fruit 11 Shopping Mall,Shopping Mall,SM,22.163075,113.983048
Cat 9 Recreation Park,Recreation Park,RP,22.181175,113.557279
Egg 12 Bus Station,Bus Station,BS,22.239074,114.167316
Egg 13 Shopping Mall,Shopping Mall,SM,22.306317,114.032738
Grape 13 Recreation Park,Recreation Park,RP,22.149107,113.911626
Egg 14 Bus Station,Bus Station,BS,22.343404,114.149819
Dog 7 Shopping Mall,Shopping Mall,SM,22.175104,114.280486
Grape 14 Residential Building,Residential Building,RB,22.313852,114.054411
Apple 6 Recreation Park,Recreation Park,RP,22.33644,114.072035
Grape 15 Residential Building,Residential Building,RB,22.18321,114.025414
Cat 10 Recreation Park,Recreation Park,RP,22.180612,113.945937
Apple 7 Train Station,Train Station,TS,22.201739,114.259657
Grape 16 Train Station,Train Station,TS,22.254578,113.867429
Cat 11 Train Station,Train Station,TS,22.117074,113.997857
Egg 15 Recreation Park,Recreation Park,RP,22.295677,113.96807
Grape 17 Train Station,Train Station,TS,22.23846,114.259415
Happy 12 Residential Building,Residential Building,RB,22.094416,113.668479
Egg 16 Residential Building,Residential Building,RB,22.259278,114.217144
Apple 8 Recreation Park,Recreation Park,RP,22.182856,113.82038
Apple 9 Recreation Park,Recreation Park,RP,22.267091,113.862887
Dog 8 Shopping Mall,Shopping Mall,SM,22.091782,113.705349
Dog 9 Train Station,Train Station,TS,22.278513,113.577851
Fruit 12 Shopping Mall,Shopping Mall,SM,22.195055,114.028171
Grape 18 Shopping Mall,Shopping Mall,SM,22.112454,113.856111
Banana 5 Recreation Park,Recreation Park,RP,22.286917,113.846302
Dog 10 Bus Station,Bus Station,BS,22.140012,113.612913
Egg 17 Shopping Mall,Shopping Mall,SM,22.113561,114.007258
Apple 10 Train Station,Train Station,TS,22.246604,113.702416
Grape 19 Residential Building,Residential Building,RB,22.116127,113.755854
Happy 13 Shopping Mall,Shopping Mall,SM,22.234459,114.234666
Grape 20 Recreation Park,Recreation Park,RP,22.147255,113.823399
Egg 18 Bus Station,Bus Station,BS,22.230021,113.538767
Cat 12 Bus Station,Bus Station,BS,22.232352,113.918564
Cat 13 Bus Station,Bus Station,BS,22.097709,113.684416
Grape 21 Bus Station,Bus Station,BS,22.26111,113.776791
Grape 22 Recreation Park,Recreation Park,RP,22.099905,113.86609
Banana 6 Bus Station,Bus Station,BS,22.18106,113.58042
