Line_ID,From_Station,To_Station,Price
TrainLine_1,Grape 16 Train Station,Fruit 7 Train Station,6.65
TrainLine_1,Fruit 7 Train Station,Apple 13 Train Station,9.78
TrainLine_1,Apple 13 Train Station,Apple 5 Train Station,1.94
TrainLine_1,Apple 5 Train Station,Cat 1 Train Station,5.06
TrainLine_1,Cat 1 Train Station,Grape 4 Train Station,4.24
TrainLine_1,Grape 4 Train Station,Happy 14 Train Station,5.79
TrainLine_2,Grape 11 Train Station,Apple 22 Train Station,1.21
TrainLine_2,Apple 22 Train Station,Banana 9 Train Station,12.35
TrainLine_2,Banana 9 Train Station,Cat 21 Train Station,6.58
TrainLine_2,Cat 21 Train Station,Egg 3 Train Station,4.98
TrainLine_2,Egg 3 Train Station,Grape 4 Train Station,8.56
TrainLine_2,Grape 4 Train Station,Banana 1 Train Station,10.72
TrainLine_2,Banana 1 Train Station,Apple 5 Train Station,13.9
TrainLine_2,Apple 5 Train Station,Grape 16 Train Station,8.24
TrainLine_2,Grape 16 Train Station,Fruit 7 Train Station,6.65
TrainLine_2,Fruit 7 Train Station,Cat 6 Train Station,13.76
TrainLine_2,Cat 6 Train Station,Grape 1 Train Station,9.76
TrainLine_2,Grape 1 Train Station,Banana 16 Train Station,8.47
TrainLine_2,Banana 16 Train Station,Grape 33 Train Station,6.9
TrainLine_3,Grape 17 Train Station,Grape 30 Train Station,6.41
TrainLine_3,Grape 30 Train Station,Grape 29 Train Station,8.36
TrainLine_3,Grape 29 Train Station,Banana 9 Train Station,0.45
TrainLine_3,Banana 9 Train Station,Fruit 19 Train Station,3.1
TrainLine_3,Fruit 19 Train Station,Egg 3 Train Station,7.58
TrainLine_3,Egg 3 Train Station,Apple 16 Train Station,3.18
TrainLine_4,Apple 7 Train Station,Grape 17 Train Station,2.94
TrainLine_4,Grape 17 Train Station,Grape 29 Train Station,7.29
TrainLine_4,Grape 29 Train Station,Banana 9 Train Station,0.45
TrainLine_4,Banana 9 Train Station,Grape 30 Train Station,8.02
TrainLine_4,Grape 30 Train Station,Egg 3 Train Station,7.53
TrainLine_4,Egg 3 Train Station,Apple 16 Train Station,3.18
TrainLine_4,Apple 16 Train Station,Cat 21 Train Station,7.19
TrainLine_4,Cat 21 Train Station,Apple 24 Train Station,8.97
TrainLine_4,Apple 24 Train Station,Happy 16 Train Station,11.95
TrainLine_5,Dog 9 Train Station,Cat 14 Train Station,5.31
TrainLine_5,Cat 14 Train Station,Apple 10 Train Station,9.45
TrainLine_5,Apple 10 Train Station,Dog 18 Train Station,6.5
