Line_ID,Stop_Order,Station_Name
TrainLine_1,1,Grape 16 Train Station
TrainLine_1,2,Fruit 7 Train Station
TrainLine_1,3,Apple 13 Train Station
TrainLine_1,4,Apple 5 Train Station
TrainLine_1,5,Cat 1 Train Station
TrainLine_1,6,Grape 4 Train Station
TrainLine_1,7,Happy 14 Train Station
TrainLine_2,1,Grape 11 Train Station
TrainLine_2,2,Apple 22 Train Station
TrainLine_2,3,Banana 9 Train Station
TrainLine_2,4,Cat 21 Train Station
TrainLine_2,5,Egg 3 Train Station
TrainLine_2,6,Grape 4 Train Station
TrainLine_2,7,Banana 1 Train Station
TrainLine_2,8,Apple 5 Train Station
TrainLine_2,9,Grape 16 Train Station
TrainLine_2,10,Fruit 7 Train Station
TrainLine_2,11,Cat 6 Train Station
TrainLine_2,12,Grape 1 Train Station
TrainLine_2,13,Banana 16 Train Station
TrainLine_2,14,Grape 33 Train Station
TrainLine_3,1,Grape 17 Train Station
TrainLine_3,2,Grape 30 Train Station
TrainLine_3,3,Grape 29 Train Station
TrainLine_3,4,Banana 9 Train Station
TrainLine_3,5,Fruit 19 Train Station
TrainLine_3,6,Egg 3 Train Station
TrainLine_3,7,Apple 16 Train Station
TrainLine_4,1,Apple 7 Train Station
TrainLine_4,2,Grape 17 Train Station
TrainLine_4,3,Grape 29 Train Station
TrainLine_4,4,Banana 9 Train Station
TrainLine_4,5,Grape 30 Train Station
TrainLine_4,6,Egg 3 Train Station
TrainLine_4,7,Apple 16 Train Station
TrainLine_4,8,Cat 21 Train Station
TrainLine_4,9,Apple 24 Train Station
TrainLine_4,10,Happy 16 Train Station
TrainLine_5,1,Dog 9 Train Station
TrainLine_5,2,Cat 14 Train Station
TrainLine_5,3,Apple 10 Train Station
TrainLine_5,4,Dog 18 Train Station
