Landmark_Name,Type,Abbreviation,Latitude,Longitude
Egg 1 Shopping Mall,Shopping Mall,SM,22.198418,113.746793
Grape 1 Train Station,Train Station,TS,22.156386,113.991849
Cat 1 Train Station,Train Station,TS,22.233716,113.986592
Fruit 1 Residential Building,Residential Building,RB,22.309892,113.870419
Apple 1 Residential Building,Residential Building,RB,22.137092,113.677865
Egg 2 Bus Station,Bus Station,BS,22.344224,113.542911
Fruit 2 Bus Station,Bus Station,BS,22.109313,113.879037
Dog 1 Residential Building,Residential Building,RB,22.232354,113.863454
Apple 2 Recreation Park,Recreation Park,RP,22.276653,114.254901
Happy 1 Bus Station,Bus Station,BS,22.259738,114.194698
Grape 2 Residential Building,Residential Building,RB,22.327078,114.076682
Banana 1 Residential Building,Residential Building,RB,22.348106,114.167029
Grape 3 Shopping Mall,Shopping Mall,SM,22.309588,114.125423
Dog 2 Bus Station,Bus Station,BS,22.130663,113.892911
Dog 3 Recreation Park,Recreation Park,RP,22.317255,114.202783
Egg 3 Recreation Park,Recreation Park,RP,22.163105,113.820058
Happy 2 Recreation Park,Recreation Park,RP,22.110717,114.155786
Banana 2 Recreation Park,Recreation Park,RP,22.156585,113.69422
Cat 2 Recreation Park,Recreation Park,RP,22.155131,113.636569
Dog 4 Residential Building,Residential Building,RB,22.183557,113.760896
Happy 3 Recreation Park,Recreation Park,RP,22.280812,113.60015
Grape 4 Train Station,Train Station,TS,22.198827,113.596883
Fruit 3 Train Station,Train Station,TS,22.157426,113.713599
Apple 3 Bus Station,Bus Station,BS,22.234318,113.896066
Happy 4 Recreation Park,Recreation Park,RP,22.211887,113.945336
Cat 3 Bus Station,Bus Station,BS,22.244981,114.171818
Cat 4 Train Station,Train Station,TS,22.151582,113.603787
Banana 3 Train Station,Train Station,TS,22.161656,114.078586
Happy 5 Residential Building,Residential Building,RB,22.121677,113.679781
Apple 4 Recreation Park,Recreation Park,RP,22.297649,114.214033
Banana 4 Shopping Mall,Shopping Mall,SM,22.221534,114.070284
Banana 5 Recreation Park,Recreation Park,RP,22.251952,113.741677
Happy 6 Recreation Park,Recreation Park,RP,22.233396,113.506757
Cat 5 Bus Station,Bus Station,BS,22.151946,113.539884
Fruit 4 Shopping Mall,Shopping Mall,SM,22.173882,113.621474
Dog 5 Recreation Park,Recreation Park,RP,22.329905,114.284785
Banana 6 Residential Building,Residential Building,RB,22.300313,113.581123
Egg 4 Train Station,Train Station,TS,22.285549,113.816208
Fruit 5 Bus Station,Bus Station,BS,22.209955,114.29724
Egg 5 Bus Station,Bus Station,BS,22.342143,114.210524
Banana 7 Residential Building,Residential Building,RB,22.211005,113.704818
Apple 5 Bus Station,Bus Station,BS,22.345257,113.836422
Grape 5 Recreation Park,Recreation Park,RP,22.102414,114.307628
Grape 6 Shopping Mall,Shopping Mall,SM,22.322748,113.59913
Banana 8 Bus Station,Bus Station,BS,22.299394,113.723204
Dog 6 Residential Building,Residential Building,RB,22.253399,113.856424
Apple 6 Recreation Park,Recreation Park,RP,22.22209,114.133735
Grape 7 Bus Station,Bus Station,BS,22.280093,114.126746
Egg 6 Recreation Park,Recreation Park,RP,22.219079,113.535025
Egg 7 Bus Station,Bus Station,BS,22.245886,113.538605
Apple 7 Shopping Mall,Shopping Mall,SM,22.284074,113.877599
Cat 6 Bus Station,Bus Station,BS,22.163357,113.792163
Dog 7 Train Station,Train Station,TS,22.341112,113.977584
Grape 8 Recreation Park,Recreation Park,RP,22.149352,113.764843
Cat 7 Recreation Park,Recreation Park,RP,22.188692,113.662219
