Line_ID,From_Station,To_Station,Price
TrainLine_1,Happy 42 Train Station,Banana 15 Train Station,8.11
TrainLine_1,Banana 15 Train Station,Happy 31 Train Station,13.66
TrainLine_1,Happy 31 Train Station,Grape 24 Train Station,7.59
TrainLine_1,Grape 24 Train Station,Grape 1 Train Station,5.78
TrainLine_1,Grape 1 Train Station,Fruit 34 Train Station,6.54
TrainLine_1,Fruit 34 Train Station,Cat 8 Train Station,6.66
TrainLine_2,Grape 17 Train Station,Fruit 11 Train Station,1.93
TrainLine_2,Fruit 11 Train Station,Fruit 34 Train Station,0.33
TrainLine_2,Fruit 34 Train Station,Egg 15 Train Station,1.49
TrainLine_2,Egg 15 Train Station,Banana 31 Train Station,2.61
TrainLine_2,Banana 31 Train Station,Apple 36 Train Station,5.83
TrainLine_2,Apple 36 Train Station,Apple 8 Train Station,3.75
TrainLine_2,Apple 8 Train Station,Apple 10 Train Station,4.01
TrainLine_2,Apple 10 Train Station,Cat 8 Train Station,2.95
TrainLine_2,Cat 8 Train Station,Fruit 3 Train Station,1.8
TrainLine_2,Fruit 3 Train Station,Cat 22 Train Station,2.28
TrainLine_3,Banana 12 Train Station,Grape 1 Train Station,1.4
TrainLine_3,Grape 1 Train Station,Cat 1 Train Station,3.88
TrainLine_3,Cat 1 Train Station,Grape 17 Train Station,5.97
TrainLine_3,Grape 17 Train Station,Happy 46 Train Station,8.17
TrainLine_3,Happy 46 Train Station,Fruit 11 Train Station,8.37
TrainLine_3,Fruit 11 Train Station,Fruit 34 Train Station,0.33
TrainLine_3,Fruit 34 Train Station,Banana 31 Train Station,1.54
TrainLine_3,Banana 31 Train Station,Apple 13 Train Station,8.76
TrainLine_3,Apple 13 Train Station,Dog 13 Train Station,1.2
TrainLine_3,Dog 13 Train Station,Dog 7 Train Station,0.9
TrainLine_3,Dog 7 Train Station,Apple 36 Train Station,13.83
TrainLine_3,Apple 36 Train Station,Egg 15 Train Station,3.88
TrainLine_3,Egg 15 Train Station,Apple 8 Train Station,1.37
TrainLine_3,Apple 8 Train Station,Egg 4 Train Station,6.87
TrainLine_4,Fruit 30 Train Station,Grape 24 Train Station,3.35
TrainLine_4,Grape 24 Train Station,Banana 3 Train Station,1.59
TrainLine_4,Banana 3 Train Station,Dog 12 Train Station,9.51
TrainLine_4,Dog 12 Train Station,Banana 31 Train Station,15.09
TrainLine_4,Banana 31 Train Station,Egg 4 Train Station,4.62
TrainLine_4,Egg 4 Train Station,Cat 22 Train Station,10.1
TrainLine_4,Cat 22 Train Station,Cat 30 Train Station,4.89
TrainLine_4,Cat 30 Train Station,Cat 4 Train Station,4.1
TrainLine_4,Cat 4 Train Station,Dog 16 Train Station,3.15
TrainLine_4,Dog 16 Train Station,Cat 29 Train Station,1.86
TrainLine_5,Dog 36 Train Station,Apple 9 Train Station,1.36
TrainLine_5,Apple 9 Train Station,Dog 12 Train Station,9.16
TrainLine_5,Dog 12 Train Station,Happy 31 Train Station,1.85
TrainLine_5,Happy 31 Train Station,Banana 41 Train Station,8.57
TrainLine_5,Banana 41 Train Station,Banana 12 Train Station,4.21
TrainLine_5,Banana 12 Train Station,Cat 1 Train Station,3.21
TrainLine_5,Cat 1 Train Station,Fruit 34 Train Station,6.83
TrainLine_5,Fruit 34 Train Station,Cat 30 Train Station,9.69
TrainLine_6,Egg 15 Train Station,Fruit 34 Train Station,1.49
TrainLine_6,Fruit 34 Train Station,Banana 31 Train Station,1.54
TrainLine_6,Banana 31 Train Station,Grape 1 Train Station,6.84
TrainLine_6,Grape 1 Train Station,Dog 13 Train Station,8.73
TrainLine_6,Dog 13 Train Station,Banana 3 Train Station,10.12
TrainLine_6,Banana 3 Train Station,Happy 41 Train Station,7.75
TrainLine_6,Happy 41 Train Station,Fruit 30 Train Station,9.94
TrainLine_6,Fruit 30 Train Station,Happy 19 Train Station,0.65
TrainLine_6,Happy 19 Train Station,Dog 9 Train Station,6.96
TrainLine_6,Dog 9 Train Station,Egg 28 Train Station,0.62
TrainLine_7,Egg 33 Train Station,Happy 29 Train Station,3.54
TrainLine_7,Happy 29 Train Station,Cat 4 Train Station,2.26
TrainLine_7,Cat 4 Train Station,Apple 18 Train Station,5.68
TrainLine_7,Apple 18 Train Station,Cat 29 Train Station,5.44
TrainLine_7,Cat 29 Train Station,Egg 12 Train Station,3.09
TrainLine_7,Egg 12 Train Station,Grape 4 Train Station,4.08
TrainLine_7,Grape 4 Train Station,Banana 40 Train Station,1.12
TrainLine_7,Banana 40 Train Station,Dog 16 Train Station,1.27
TrainLine_7,Dog 16 Train Station,Egg 27 Train Station,3.78
TrainLine_7,Egg 27 Train Station,Cat 30 Train Station,1.17
TrainLine_7,Cat 30 Train Station,Fruit 3 Train Station,3.02
TrainLine_7,Fruit 3 Train Station,Apple 10 Train Station,2.2
TrainLine_7,Apple 10 Train Station,Happy 8 Train Station,11.09
TrainLine_8,Apple 18 Train Station,Egg 33 Train Station,4.68
TrainLine_8,Egg 33 Train Station,Cat 4 Train Station,4.0
TrainLine_8,Cat 4 Train Station,Dog 16 Train Station,3.15
TrainLine_8,Dog 16 Train Station,Happy 29 Train Station,5.36
TrainLine_8,Happy 29 Train Station,Egg 12 Train Station,1.62
TrainLine_8,Egg 12 Train Station,Egg 27 Train Station,2.83
TrainLine_8,Egg 27 Train Station,Happy 8 Train Station,9.43
TrainLine_8,Happy 8 Train Station,Cat 8 Train Station,13.1
TrainLine_8,Cat 8 Train Station,Fruit 34 Train Station,6.66
TrainLine_8,Fruit 34 Train Station,Banana 31 Train Station,1.54
TrainLine_8,Banana 31 Train Station,Grape 1 Train Station,6.84
TrainLine_8,Grape 1 Train Station,Dog 7 Train Station,9.26
TrainLine_8,Dog 7 Train Station,Banana 3 Train Station,10.3
TrainLine_8,Banana 3 Train Station,Banana 24 Train Station,2.81
TrainLine_9,Happy 29 Train Station,Egg 12 Train Station,1.62
TrainLine_9,Egg 12 Train Station,Egg 27 Train Station,2.83
TrainLine_9,Egg 27 Train Station,Cat 22 Train Station,3.84
TrainLine_9,Cat 22 Train Station,Cat 30 Train Station,4.89
TrainLine_9,Cat 30 Train Station,Cat 8 Train Station,4.81
TrainLine_9,Cat 8 Train Station,Apple 10 Train Station,2.95
TrainLine_9,Apple 10 Train Station,Egg 15 Train Station,4.74
TrainLine_9,Egg 15 Train Station,Apple 36 Train Station,3.88
TrainLine_9,Apple 36 Train Station,Fruit 34 Train Station,4.29
TrainLine_10,Grape 24 Train Station,Banana 25 Train Station,1.91
TrainLine_10,Banana 25 Train Station,Fruit 30 Train Station,2.72
TrainLine_10,Fruit 30 Train Station,Happy 19 Train Station,0.65
