Line_ID,Stop_Order,Station_Name
TrainLine_1,1,Happy 42 Train Station
TrainLine_1,2,Banana 15 Train Station
TrainLine_1,3,Happy 31 Train Station
TrainLine_1,4,Grape 24 Train Station
TrainLine_1,5,Grape 1 Train Station
TrainLine_1,6,Fruit 34 Train Station
TrainLine_1,7,Cat 8 Train Station
TrainLine_2,1,Grape 17 Train Station
TrainLine_2,2,Fruit 11 Train Station
TrainLine_2,3,Fruit 34 Train Station
TrainLine_2,4,Egg 15 Train Station
TrainLine_2,5,Banana 31 Train Station
TrainLine_2,6,Apple 36 Train Station
TrainLine_2,7,Apple 8 Train Station
TrainLine_2,8,Apple 10 Train Station
TrainLine_2,9,Cat 8 Train Station
TrainLine_2,10,Fruit 3 Train Station
TrainLine_2,11,Cat 22 Train Station
TrainLine_3,1,Banana 12 Train Station
TrainLine_3,2,Grape 1 Train Station
TrainLine_3,3,Cat 1 Train Station
TrainLine_3,4,Grape 17 Train Station
TrainLine_3,5,Happy 46 Train Station
TrainLine_3,6,Fruit 11 Train Station
TrainLine_3,7,Fruit 34 Train Station
TrainLine_3,8,Banana 31 Train Station
TrainLine_3,9,Apple 13 Train Station
TrainLine_3,10,Dog 13 Train Station
TrainLine_3,11,Dog 7 Train Station
TrainLine_3,12,Apple 36 Train Station
TrainLine_3,13,Egg 15 Train Station
TrainLine_3,14,Apple 8 Train Station
TrainLine_3,15,Egg 4 Train Station
TrainLine_4,1,Fruit 30 Train Station
TrainLine_4,2,Grape 24 Train Station
TrainLine_4,3,Banana 3 Train Station
TrainLine_4,4,Dog 12 Train Station
TrainLine_4,5,Banana 31 Train Station
TrainLine_4,6,Egg 4 Train Station
TrainLine_4,7,Cat 22 Train Station
TrainLine_4,8,Cat 30 Train Station
TrainLine_4,9,Cat 4 Train Station
TrainLine_4,10,Dog 16 Train Station
TrainLine_4,11,Cat 29 Train Station
TrainLine_5,1,Dog 36 Train Station
TrainLine_5,2,Apple 9 Train Station
TrainLine_5,3,Dog 12 Train Station
TrainLine_5,4,Happy 31 Train Station
TrainLine_5,5,Banana 41 Train Station
TrainLine_5,6,Banana 12 Train Station
TrainLine_5,7,Cat 1 Train Station
TrainLine_5,8,Fruit 34 Train Station
TrainLine_5,9,Cat 30 Train Station
TrainLine_6,1,Egg 15 Train Station
TrainLine_6,2,Fruit 34 Train Station
TrainLine_6,3,Banana 31 Train Station
TrainLine_6,4,Grape 1 Train Station
TrainLine_6,5,Dog 13 Train Station
TrainLine_6,6,Banana 3 Train Station
TrainLine_6,7,Happy 41 Train Station
TrainLine_6,8,Fruit 30 Train Station
TrainLine_6,9,Happy 19 Train Station
TrainLine_6,10,Dog 9 Train Station
TrainLine_6,11,Egg 28 Train Station
TrainLine_7,1,Egg 33 Train Station
TrainLine_7,2,Happy 29 Train Station
TrainLine_7,3,Cat 4 Train Station
TrainLine_7,4,Apple 18 Train Station
TrainLine_7,5,Cat 29 Train Station
TrainLine_7,6,Egg 12 Train Station
TrainLine_7,7,Grape 4 Train Station
TrainLine_7,8,Banana 40 Train Station
TrainLine_7,9,Dog 16 Train Station
TrainLine_7,10,Egg 27 Train Station
TrainLine_7,11,Cat 30 Train Station
TrainLine_7,12,Fruit 3 Train Station
TrainLine_7,13,Apple 10 Train Station
TrainLine_7,14,Happy 8 Train Station
TrainLine_8,1,Apple 18 Train Station
TrainLine_8,2,Egg 33 Train Station
TrainLine_8,3,Cat 4 Train Station
TrainLine_8,4,Dog 16 Train Station
TrainLine_8,5,Happy 29 Train Station
TrainLine_8,6,Egg 12 Train Station
TrainLine_8,7,Egg 27 Train Station
TrainLine_8,8,Happy 8 Train Station
TrainLine_8,9,Cat 8 Train Station
TrainLine_8,10,Fruit 34 Train Station
TrainLine_8,11,Banana 31 Train Station
TrainLine_8,12,Grape 1 Train Station
TrainLine_8,13,Dog 7 Train Station
TrainLine_8,14,Banana 3 Train Station
TrainLine_8,15,Banana 24 Train Station
TrainLine_9,1,Happy 29 Train Station
TrainLine_9,2,Egg 12 Train Station
TrainLine_9,3,Egg 27 Train Station
TrainLine_9,4,Cat 22 Train Station
TrainLine_9,5,Cat 30 Train Station
TrainLine_9,6,Cat 8 Train Station
TrainLine_9,7,Apple 10 Train Station
TrainLine_9,8,Egg 15 Train Station
TrainLine_9,9,Apple 36 Train Station
TrainLine_9,10,Fruit 34 Train Station
TrainLine_10,1,Grape 24 Train Station
TrainLine_10,2,Banana 25 Train Station
TrainLine_10,3,Fruit 30 Train Station
TrainLine_10,4,Happy 19 Train Station
