Line_ID,Stop_Order,Station_Name,Price
BusLine_1,1,Dog 4 Bus Station,7.3
BusLine_1,2,Banana 27 Bus Station,7.3
BusLine_1,3,Fruit 26 Bus Station,7.3
BusLine_1,4,Banana 43 Bus Station,7.3
BusLine_1,5,Grape 14 Bus Station,7.3
BusLine_2,1,Banana 29 Bus Station,12.3
BusLine_2,2,Fruit 27 Bus Station,12.3
BusLine_2,3,Grape 14 Bus Station,12.3
BusLine_2,4,Fruit 17 Bus Station,12.3
BusLine_2,5,Banana 28 Bus Station,12.3
BusLine_2,6,Cat 12 Bus Station,12.3
BusLine_2,7,Happy 7 Bus Station,12.3
BusLine_2,8,Cat 15 Bus Station,12.3
BusLine_3,1,Cat 12 Bus Station,8.2
BusLine_3,2,Happy 7 Bus Station,8.2
BusLine_3,3,Egg 20 Bus Station,8.2
BusLine_3,4,Egg 31 Bus Station,8.2
BusLine_3,5,Happy 10 Bus Station,8.2
BusLine_4,1,Egg 38 Bus Station,9.7
BusLine_4,2,Cat 42 Bus Station,9.7
BusLine_4,3,Grape 14 Bus Station,9.7
BusLine_4,4,Egg 12 Bus Station,9.7
BusLine_4,5,Apple 18 Bus Station,9.7
BusLine_4,6,Egg 20 Bus Station,9.7
BusLine_4,7,Banana 15 Bus Station,9.7
BusLine_4,8,Egg 24 Bus Station,9.7
BusLine_4,9,Banana 27 Bus Station,9.7
BusLine_5,1,Fruit 26 Bus Station,0.8
BusLine_5,2,Banana 15 Bus Station,0.8
BusLine_6,1,Egg 20 Bus Station,6.9
BusLine_6,2,Egg 31 Bus Station,6.9
BusLine_6,3,Happy 13 Bus Station,6.9
BusLine_6,4,Fruit 32 Bus Station,6.9
BusLine_6,5,Happy 10 Bus Station,6.9
BusLine_6,6,Fruit 27 Bus Station,6.9
BusLine_6,7,Egg 16 Bus Station,6.9
BusLine_7,1,Fruit 4 Bus Station,15.3
BusLine_7,2,Banana 42 Bus Station,15.3
BusLine_7,3,Banana 28 Bus Station,15.3
BusLine_7,4,Grape 35 Bus Station,15.3
BusLine_7,5,Dog 19 Bus Station,15.3
BusLine_7,6,Happy 10 Bus Station,15.3
BusLine_7,7,Fruit 32 Bus Station,15.3
BusLine_7,8,Grape 14 Bus Station,15.3
BusLine_7,9,Apple 22 Bus Station,15.3
BusLine_8,1,Happy 22 Bus Station,10.6
BusLine_8,2,Happy 5 Bus Station,10.6
BusLine_8,3,Banana 39 Bus Station,10.6
BusLine_8,4,Apple 8 Bus Station,10.6
BusLine_8,5,Happy 7 Bus Station,10.6
BusLine_8,6,Egg 31 Bus Station,10.6
BusLine_8,7,Egg 16 Bus Station,10.6
BusLine_8,8,Happy 13 Bus Station,10.6
BusLine_9,1,Banana 42 Bus Station,2.6
BusLine_9,2,Apple 8 Bus Station,2.6
BusLine_9,3,Banana 39 Bus Station,2.6
BusLine_10,1,Apple 35 Bus Station,12.7
BusLine_10,2,Apple 22 Bus Station,12.7
BusLine_10,3,Fruit 19 Bus Station,12.7
BusLine_10,4,Egg 12 Bus Station,12.7
BusLine_10,5,Cat 24 Bus Station,12.7
BusLine_10,6,Fruit 17 Bus Station,12.7
BusLine_10,7,Fruit 2 Bus Station,12.7
BusLine_11,1,Fruit 27 Bus Station,11.0
BusLine_11,2,Grape 14 Bus Station,11.0
BusLine_11,3,Happy 10 Bus Station,11.0
BusLine_11,4,Cat 42 Bus Station,11.0
BusLine_11,5,Egg 38 Bus Station,11.0
BusLine_11,6,Egg 30 Bus Station,11.0
BusLine_11,7,Grape 17 Bus Station,11.0
BusLine_11,8,Grape 35 Bus Station,11.0
BusLine_11,9,Cat 12 Bus Station,11.0
BusLine_11,10,Banana 13 Bus Station,11.0
BusLine_12,1,Cat 42 Bus Station,11.6
BusLine_12,2,Happy 10 Bus Station,11.6
BusLine_12,3,Egg 20 Bus Station,11.6
BusLine_12,4,Egg 31 Bus Station,11.6
BusLine_12,5,Egg 16 Bus Station,11.6
BusLine_12,6,Banana 29 Bus Station,11.6
BusLine_12,7,Fruit 26 Bus Station,11.6
BusLine_12,8,Banana 23 Bus Station,11.6
BusLine_12,9,Cat 45 Bus Station,11.6
BusLine_12,10,Grape 7 Bus Station,11.6
BusLine_13,1,Banana 23 Bus Station,7.2
BusLine_13,2,Egg 24 Bus Station,7.2
BusLine_13,3,Apple 35 Bus Station,7.2
BusLine_13,4,Cat 45 Bus Station,7.2
BusLine_13,5,Banana 15 Bus Station,7.2
BusLine_13,6,Banana 29 Bus Station,7.2
BusLine_13,7,Grape 14 Bus Station,7.2
BusLine_13,8,Apple 18 Bus Station,7.2
BusLine_13,9,Fruit 1 Bus Station,7.2
BusLine_14,1,Apple 18 Bus Station,8.4
BusLine_14,2,Banana 29 Bus Station,8.4
BusLine_14,3,Banana 27 Bus Station,8.4
BusLine_14,4,Banana 23 Bus Station,8.4
BusLine_14,5,Cat 45 Bus Station,8.4
BusLine_14,6,Apple 35 Bus Station,8.4
BusLine_14,7,Egg 23 Bus Station,8.4
BusLine_14,8,Dog 31 Bus Station,8.4
BusLine_15,1,Fruit 9 Bus Station,11.6
BusLine_15,2,Apple 22 Bus Station,11.6
BusLine_15,3,Banana 15 Bus Station,11.6
BusLine_15,4,Fruit 1 Bus Station,11.6
BusLine_15,5,Happy 17 Bus Station,11.6
