Landmark_Name,Type,Abbreviation,Latitude,Longitude
Egg 1 Residential Building,Residential Building,RB,22.27509,114.043649
Happy 1 Recreation Park,Recreation Park,RP,22.247006,114.123004
Apple 1 Shopping Mall,Shopping Mall,SM,22.241607,113.662342
Cat 1 Shopping Mall,Shopping Mall,SM,22.099722,113.86731
Grape 1 Residential Building,Residential Building,RB,22.160404,113.604172
Egg 2 Train Station,Train Station,TS,22.19899,114.167999
Cat 2 Residential Building,Residential Building,RB,22.247503,114.153837
Happy 2 Residential Building,Residential Building,RB,22.26592,113.770838
Banana 1 Bus Station,Bus Station,BS,22.208118,113.536706
Fruit 1 Bus Station,Bus Station,BS,22.174629,113.982354
Cat 3 Recreation Park,Recreation Park,RP,22.283357,113.939164
Banana 2 Shopping Mall,Shopping Mall,SM,22.088563,113.888537
Fruit 2 Bus Station,Bus Station,BS,22.186571,113.758028
Grape 2 Shopping Mall,Shopping Mall,SM,22.185017,114.257568
Cat 4 Train Station,Train Station,TS,22.150983,113.627506
Happy 3 Shopping Mall,Shopping Mall,SM,22.113572,113.636177
Fruit 3 Shopping Mall,Shopping Mall,SM,22.169517,114.309459
Grape 3 Shopping Mall,Shopping Mall,SM,22.248493,113.783801
Fruit 4 Bus Station,Bus Station,BS,22.183069,113.580608
Egg 3 Train Station,Train Station,TS,22.341903,113.865323
Dog 1 Residential Building,Residential Building,RB,22.325852,114.074085
Grape 4 Residential Building,Residential Building,RB,22.154878,113.62052
Banana 3 Train Station,Train Station,TS,22.316234,114.29686
Banana 4 Recreation Park,Recreation Park,RP,22.289581,113.789631
Grape 5 Shopping Mall,Shopping Mall,SM,22.125498,114.132843
Egg 4 Shopping Mall,Shopping Mall,SM,22.22801,113.690156
Banana 5 Recreation Park,Recreation Park,RP,22.296258,114.271879
Fruit 5 Train Station,Train Station,TS,22.180924,113.885187
Fruit 6 Residential Building,Residential Building,RB,22.264795,113.767854
Banana 6 Residential Building,Residential Building,RB,22.332875,113.910228
Dog 2 Recreation Park,Recreation Park,RP,22.318833,113.592989
Banana 7 Shopping Mall,Shopping Mall,SM,22.245871,113.517229
Dog 3 Residential Building,Residential Building,RB,22.090239,113.945408
Egg 5 Residential Building,Residential Building,RB,22.289934,113.935535
Fruit 7 Train Station,Train Station,TS,22.214501,113.847271
Apple 2 Shopping Mall,Shopping Mall,SM,22.08078,113.758076
Egg 6 Shopping Mall,Shopping Mall,SM,22.09826,113.632523
Happy 4 Bus Station,Bus Station,BS,22.202874,114.302593
