Line_ID,From_Station,To_Station,Price
TrainLine_1,Grape 21 Train Station,Fruit 5 Train Station,3.27
TrainLine_1,Fruit 5 Train Station,Egg 39 Train Station,3.38
TrainLine_1,Egg 39 Train Station,Cat 39 Train Station,4.97
TrainLine_1,Cat 39 Train Station,Happy 15 Train Station,11.92
TrainLine_1,Happy 15 Train Station,Happy 16 Train Station,4.33
TrainLine_1,Happy 16 Train Station,Egg 3 Train Station,9.56
TrainLine_1,Egg 3 Train Station,Grape 16 Train Station,2.48
TrainLine_2,Dog 27 Train Station,Fruit 11 Train Station,0.91
TrainLine_2,Fruit 11 Train Station,Dog 13 Train Station,1.39
TrainLine_2,Dog 13 Train Station,Cat 26 Train Station,3.42
TrainLine_2,Cat 26 Train Station,Happy 20 Train Station,9.63
TrainLine_2,Happy 20 Train Station,Apple 30 Train Station,15.64
TrainLine_2,Apple 30 Train Station,Grape 32 Train Station,9.2
TrainLine_2,Grape 32 Train Station,Egg 36 Train Station,4.0
TrainLine_3,Banana 21 Train Station,Happy 29 Train Station,3.11
TrainLine_3,Happy 29 Train Station,Banana 12 Train Station,2.07
TrainLine_3,Banana 12 Train Station,Apple 20 Train Station,1.76
TrainLine_3,Apple 20 Train Station,Cat 31 Train Station,0.79
TrainLine_4,Apple 33 Train Station,Banana 36 Train Station,3.39
TrainLine_4,Banana 36 Train Station,Happy 12 Train Station,7.73
TrainLine_4,Happy 12 Train Station,Egg 40 Train Station,9.17
TrainLine_4,Egg 40 Train Station,Happy 16 Train Station,2.7
TrainLine_4,Happy 16 Train Station,Grape 33 Train Station,4.51
TrainLine_4,Grape 33 Train Station,Fruit 16 Train Station,8.17
TrainLine_4,Fruit 16 Train Station,Grape 26 Train Station,4.45
TrainLine_4,Grape 26 Train Station,Apple 20 Train Station,3.23
TrainLine_4,Apple 20 Train Station,Banana 35 Train Station,11.46
TrainLine_4,Banana 35 Train Station,Apple 26 Train Station,1.58
TrainLine_4,Apple 26 Train Station,Cat 41 Train Station,6.0
TrainLine_4,Cat 41 Train Station,Grape 8 Train Station,4.97
TrainLine_5,Grape 34 Train Station,Egg 33 Train Station,2.44
TrainLine_5,Egg 33 Train Station,Cat 4 Train Station,5.56
TrainLine_5,Cat 4 Train Station,Fruit 11 Train Station,1.25
TrainLine_5,Fruit 11 Train Station,Happy 20 Train Station,7.42
TrainLine_5,Happy 20 Train Station,Dog 13 Train Station,6.89
TrainLine_5,Dog 13 Train Station,Grape 16 Train Station,12.47
TrainLine_5,Grape 16 Train Station,Fruit 5 Train Station,8.92
TrainLine_5,Fruit 5 Train Station,Cat 11 Train Station,4.72
TrainLine_5,Cat 11 Train Station,Apple 30 Train Station,2.83
TrainLine_5,Apple 30 Train Station,Egg 36 Train Station,7.89
