Line_ID,Stop_Order,Station_Name
TrainLine_1,1,Grape 21 Train Station
TrainLine_1,2,Fruit 5 Train Station
TrainLine_1,3,Egg 39 Train Station
TrainLine_1,4,Cat 39 Train Station
TrainLine_1,5,Happy 15 Train Station
TrainLine_1,6,Happy 16 Train Station
TrainLine_1,7,Egg 3 Train Station
TrainLine_1,8,Grape 16 Train Station
TrainLine_2,1,Dog 27 Train Station
TrainLine_2,2,Fruit 11 Train Station
TrainLine_2,3,Dog 13 Train Station
TrainLine_2,4,Cat 26 Train Station
TrainLine_2,5,Happy 20 Train Station
TrainLine_2,6,Apple 30 Train Station
TrainLine_2,7,Grape 32 Train Station
TrainLine_2,8,Egg 36 Train Station
TrainLine_3,1,Banana 21 Train Station
TrainLine_3,2,Happy 29 Train Station
TrainLine_3,3,Banana 12 Train Station
TrainLine_3,4,Apple 20 Train Station
TrainLine_3,5,Cat 31 Train Station
TrainLine_4,1,Apple 33 Train Station
TrainLine_4,2,Banana 36 Train Station
TrainLine_4,3,Happy 12 Train Station
TrainLine_4,4,Egg 40 Train Station
TrainLine_4,5,Happy 16 Train Station
TrainLine_4,6,Grape 33 Train Station
TrainLine_4,7,Fruit 16 Train Station
TrainLine_4,8,Grape 26 Train Station
TrainLine_4,9,Apple 20 Train Station
TrainLine_4,10,Banana 35 Train Station
TrainLine_4,11,Apple 26 Train Station
TrainLine_4,12,Cat 41 Train Station
TrainLine_4,13,Grape 8 Train Station
TrainLine_5,1,Grape 34 Train Station
TrainLine_5,2,Egg 33 Train Station
TrainLine_5,3,Cat 4 Train Station
TrainLine_5,4,Fruit 11 Train Station
TrainLine_5,5,Happy 20 Train Station
TrainLine_5,6,Dog 13 Train Station
TrainLine_5,7,Grape 16 Train Station
TrainLine_5,8,Fruit 5 Train Station
TrainLine_5,9,Cat 11 Train Station
TrainLine_5,10,Apple 30 Train Station
TrainLine_5,11,Egg 36 Train Station
TrainLine_5,12,Grape 33 Train Station
TrainLine_6,1,Banana 12 Train Station
TrainLine_6,2,Cat 31 Train Station
TrainLine_6,3,Dog 25 Train Station
TrainLine_6,4,Apple 20 Train Station
TrainLine_6,5,Grape 26 Train Station
TrainLine_6,6,Fruit 16 Train Station
TrainLine_6,7,Apple 34 Train Station
TrainLine_6,8,Apple 7 Train Station
TrainLine_6,9,Dog 18 Train Station
TrainLine_6,10,Banana 26 Train Station
TrainLine_6,11,Happy 16 Train Station
TrainLine_6,12,Happy 12 Train Station
TrainLine_6,13,Apple 30 Train Station
TrainLine_7,1,Egg 44 Train Station
TrainLine_7,2,Cat 30 Train Station
TrainLine_7,3,Dog 13 Train Station
TrainLine_7,4,Grape 16 Train Station
TrainLine_7,5,Cat 39 Train Station
TrainLine_7,6,Grape 22 Train Station
TrainLine_7,7,Fruit 7 Train Station
TrainLine_7,8,Happy 21 Train Station
TrainLine_7,9,Egg 36 Train Station
TrainLine_7,10,Apple 30 Train Station
TrainLine_7,11,Banana 26 Train Station
TrainLine_7,12,Happy 12 Train Station
TrainLine_7,13,Apple 7 Train Station
TrainLine_7,14,Egg 2 Train Station
TrainLine_8,1,Happy 14 Train Station
TrainLine_8,2,Egg 8 Train Station
TrainLine_8,3,Egg 44 Train Station
TrainLine_8,4,Dog 17 Train Station
TrainLine_8,5,Egg 33 Train Station
TrainLine_8,6,Fruit 21 Train Station
TrainLine_8,7,Happy 20 Train Station
TrainLine_8,8,Cat 4 Train Station
TrainLine_8,9,Cat 30 Train Station
TrainLine_8,10,Fruit 11 Train Station
TrainLine_8,11,Dog 27 Train Station
TrainLine_8,12,Cat 39 Train Station
TrainLine_8,13,Cat 26 Train Station
TrainLine_9,1,Cat 28 Train Station
TrainLine_9,2,Cat 23 Train Station
TrainLine_9,3,Egg 2 Train Station
TrainLine_9,4,Grape 26 Train Station
TrainLine_9,5,Fruit 16 Train Station
TrainLine_9,6,Apple 26 Train Station
TrainLine_9,7,Apple 34 Train Station
TrainLine_9,8,Happy 16 Train Station
TrainLine_9,9,Egg 36 Train Station
TrainLine_9,10,Happy 12 Train Station
TrainLine_9,11,Grape 33 Train Station
TrainLine_9,12,Grape 21 Train Station
TrainLine_9,13,Banana 17 Train Station
TrainLine_9,14,Grape 32 Train Station
TrainLine_10,1,Cat 23 Train Station
TrainLine_10,2,Apple 26 Train Station
TrainLine_10,3,Apple 7 Train Station
TrainLine_10,4,Happy 12 Train Station
TrainLine_10,5,Grape 22 Train Station
TrainLine_10,6,Grape 16 Train Station
TrainLine_10,7,Cat 30 Train Station
