Landmark_Name,Type,Abbreviation,Latitude,Longitude
Cat 1 Residential Building,Residential Building,RB,22.224158,113.984018
Grape 1 Train Station,Train Station,TS,22.209236,114.298545
Fruit 1 Recreation Park,Recreation Park,RP,22.192005,113.913063
Grape 2 Residential Building,Residential Building,RB,22.199389,113.660067
Dog 1 Residential Building,Residential Building,RB,22.293486,113.676754
Dog 2 Bus Station,Bus Station,BS,22.206062,114.08076
Grape 3 Shopping Mall,Shopping Mall,SM,22.169289,114.092105
Dog 3 Bus Station,Bus Station,BS,22.088703,114.084809
Banana 1 Shopping Mall,Shopping Mall,SM,22.097235,113.662217
Cat 2 Shopping Mall,Shopping Mall,SM,22.283138,114.166362
Dog 4 Recreation Park,Recreation Park,RP,22.338176,114.167434
Egg 1 Bus Station,Bus Station,BS,22.147264,113.733624
Apple 1 Bus Station,Bus Station,BS,22.345018,114.026168
Dog 5 Shopping Mall,Shopping Mall,SM,22.084754,113.819523
Dog 6 Train Station,Train Station,TS,22.204105,113.508723
Egg 2 Residential Building,Residential Building,RB,22.28563,113.91968
Apple 2 Train Station,Train Station,TS,22.166493,113.494585
Apple 3 Shopping Mall,Shopping Mall,SM,22.26836,114.098622
Grape 4 Train Station,Train Station,TS,22.20531,113.735752
Egg 3 Shopping Mall,Shopping Mall,SM,22.290822,113.924507
Grape 5 Bus Station,Bus Station,BS,22.083285,113.582146
Grape 6 Recreation Park,Recreation Park,RP,22.25811,113.9419
Apple 4 Residential Building,Residential Building,RB,22.28766,113.981467
Dog 7 Residential Building,Residential Building,RB,22.171528,114.131041
Egg 4 Bus Station,Bus Station,BS,22.08162,114.295277
Cat 3 Bus Station,Bus Station,BS,22.174622,114.243941
Fruit 2 Recreation Park,Recreation Park,RP,22.26621,113.924742
Egg 5 Bus Station,Bus Station,BS,22.164481,114.254424
Fruit 3 Train Station,Train Station,TS,22.180874,114.230639
Grape 7 Train Station,Train Station,TS,22.103966,113.874078
Grape 8 Train Station,Train Station,TS,22.234685,113.771591
Fruit 4 Residential Building,Residential Building,RB,22.180162,113.819987
Dog 8 Bus Station,Bus Station,BS,22.328853,113.687583
Fruit 5 Shopping Mall,Shopping Mall,SM,22.314753,113.526115
Dog 9 Train Station,Train Station,TS,22.262737,113.55721
Apple 5 Shopping Mall,Shopping Mall,SM,22.263679,113.885251
Banana 2 Residential Building,Residential Building,RB,22.176888,114.23953
Happy 1 Train Station,Train Station,TS,22.159256,114.103184
Banana 3 Residential Building,Residential Building,RB,22.165074,113.763712
Apple 6 Residential Building,Residential Building,RB,22.146988,113.907377
Grape 9 Shopping Mall,Shopping Mall,SM,22.340564,113.987065
Apple 7 Train Station,Train Station,TS,22.310213,113.901317
Cat 4 Shopping Mall,Shopping Mall,SM,22.269104,114.013922
Apple 8 Recreation Park,Recreation Park,RP,22.186717,113.801923
Cat 5 Shopping Mall,Shopping Mall,SM,22.148512,113.618073
Fruit 6 Residential Building,Residential Building,RB,22.112948,113.724257
Dog 10 Residential Building,Residential Building,RB,22.183676,114.093982
Happy 2 Train Station,Train Station,TS,22.348749,113.849726
Cat 6 Residential Building,Residential Building,RB,22.28995,113.599065
Apple 9 Recreation Park,Recreation Park,RP,22.104515,113.937812
Banana 4 Recreation Park,Recreation Park,RP,22.106314,114.252805
Fruit 7 Residential Building,Residential Building,RB,22.286128,114.235735
Happy 3 Train Station,Train Station,TS,22.118254,114.149625
Fruit 8 Recreation Park,Recreation Park,RP,22.261081,114.141174
Cat 7 Residential Building,Residential Building,RB,22.33304,113.538182
Apple 10 Shopping Mall,Shopping Mall,SM,22.167333,113.798994
Grape 10 Train Station,Train Station,TS,22.161058,113.891915
Happy 4 Recreation Park,Recreation Park,RP,22.250189,113.710735
Apple 11 Recreation Park,Recreation Park,RP,22.200071,113.505845
Apple 12 Recreation Park,Recreation Park,RP,22.28859,113.693927
Apple 13 Recreation Park,Recreation Park,RP,22.212375,113.563744
Grape 11 Shopping Mall,Shopping Mall,SM,22.217535,113.967053
Cat 8 Residential Building,Residential Building,RB,22.142037,114.122363
Grape 12 Bus Station,Bus Station,BS,22.164568,114.263513
Dog 11 Bus Station,Bus Station,BS,22.263884,113.911435
Grape 13 Bus Station,Bus Station,BS,22.127256,113.937568
Happy 5 Recreation Park,Recreation Park,RP,22.164554,113.978823
Fruit 9 Bus Station,Bus Station,BS,22.348154,114.033971
Egg 6 Train Station,Train Station,TS,22.207518,113.597313
Dog 12 Residential Building,Residential Building,RB,22.224338,114.214732
Fruit 10 Shopping Mall,Shopping Mall,SM,22.18697,114.052541
Banana 5 Residential Building,Residential Building,RB,22.226872,113.992145
Egg 7 Residential Building,Residential Building,RB,22.120999,114.213037
Egg 8 Bus Station,Bus Station,BS,22.13176,113.504589
Grape 14 Recreation Park,Recreation Park,RP,22.239257,114.040779
