Line_ID,Stop_Order,Station_Name,Price
BusLine_1,1,Apple 48 Bus Station,2.1
BusLine_1,2,Egg 74 Bus Station,2.1
BusLine_1,3,Banana 11 Bus Station,2.1
BusLine_1,4,Apple 31 Bus Station,2.1
BusLine_1,5,Happy 33 Bus Station,2.1
BusLine_1,6,Egg 32 Bus Station,2.1
BusLine_2,1,Apple 55 Bus Station,4.5
BusLine_2,2,Cat 40 Bus Station,4.5
BusLine_2,3,Banana 8 Bus Station,4.5
BusLine_2,4,Cat 46 Bus Station,4.5
BusLine_2,5,Apple 4 Bus Station,4.5
BusLine_2,6,Egg 24 Bus Station,4.5
BusLine_2,7,Egg 49 Bus Station,4.5
BusLine_2,8,Grape 17 Bus Station,4.5
BusLine_2,9,Dog 2 Bus Station,4.5
BusLine_2,10,Fruit 15 Bus Station,4.5
BusLine_3,1,Fruit 60 Bus Station,0.3
BusLine_3,2,Egg 72 Bus Station,0.3
BusLine_4,1,Apple 46 Bus Station,2.7
BusLine_4,2,Fruit 47 Bus Station,2.7
BusLine_4,3,Grape 51 Bus Station,2.7
BusLine_4,4,Fruit 35 Bus Station,2.7
BusLine_4,5,Apple 5 Bus Station,2.7
BusLine_4,6,Banana 9 Bus Station,2.7
BusLine_4,7,Banana 25 Bus Station,2.7
BusLine_4,8,Egg 52 Bus Station,2.7
BusLine_4,9,Apple 49 Bus Station,2.7
BusLine_4,10,Fruit 51 Bus Station,2.7
BusLine_5,1,Grape 11 Bus Station,4.0
BusLine_5,2,Grape 29 Bus Station,4.0
BusLine_5,3,Egg 58 Bus Station,4.0
BusLine_5,4,Happy 31 Bus Station,4.0
BusLine_5,5,Banana 1 Bus Station,4.0
BusLine_6,1,Fruit 47 Bus Station,12.5
BusLine_6,2,Dog 2 Bus Station,12.5
BusLine_6,3,Fruit 15 Bus Station,12.5
BusLine_6,4,Egg 24 Bus Station,12.5
BusLine_6,5,Fruit 40 Bus Station,12.5
BusLine_6,6,Cat 40 Bus Station,12.5
BusLine_6,7,Grape 53 Bus Station,12.5
BusLine_6,8,Grape 21 Bus Station,12.5
BusLine_6,9,Grape 4 Bus Station,12.5
BusLine_6,10,Dog 3 Bus Station,12.5
BusLine_7,1,Fruit 35 Bus Station,15.7
BusLine_7,2,Fruit 47 Bus Station,15.7
BusLine_7,3,Apple 5 Bus Station,15.7
BusLine_7,4,Happy 32 Bus Station,15.7
BusLine_7,5,Fruit 41 Bus Station,15.7
BusLine_7,6,Grape 40 Bus Station,15.7
BusLine_7,7,Egg 24 Bus Station,15.7
BusLine_7,8,Apple 48 Bus Station,15.7
BusLine_7,9,Banana 11 Bus Station,15.7
BusLine_7,10,Happy 70 Bus Station,15.7
BusLine_8,1,Happy 64 Bus Station,15.5
BusLine_8,2,Egg 47 Bus Station,15.5
BusLine_8,3,Grape 47 Bus Station,15.5
BusLine_8,4,Fruit 41 Bus Station,15.5
BusLine_8,5,Happy 33 Bus Station,15.5
BusLine_9,1,Egg 62 Bus Station,16.9
BusLine_9,2,Grape 29 Bus Station,16.9
BusLine_9,3,Apple 4 Bus Station,16.9
BusLine_9,4,Cat 40 Bus Station,16.9
BusLine_9,5,Happy 33 Bus Station,16.9
BusLine_9,6,Apple 63 Bus Station,16.9
BusLine_9,7,Cat 17 Bus Station,16.9
BusLine_10,1,Apple 45 Bus Station,8.1
BusLine_10,2,Egg 32 Bus Station,8.1
BusLine_10,3,Apple 48 Bus Station,8.1
BusLine_10,4,Egg 55 Bus Station,8.1
BusLine_10,5,Cat 37 Bus Station,8.1
BusLine_10,6,Egg 4 Bus Station,8.1
BusLine_11,1,Banana 24 Bus Station,11.8
BusLine_11,2,Egg 74 Bus Station,11.8
BusLine_11,3,Grape 53 Bus Station,11.8
BusLine_11,4,Fruit 40 Bus Station,11.8
BusLine_11,5,Grape 47 Bus Station,11.8
BusLine_12,1,Egg 74 Bus Station,7.6
BusLine_12,2,Banana 11 Bus Station,7.6
BusLine_12,3,Dog 14 Bus Station,7.6
BusLine_12,4,Cat 42 Bus Station,7.6
BusLine_12,5,Banana 43 Bus Station,7.6
BusLine_12,6,Egg 55 Bus Station,7.6
BusLine_12,7,Apple 21 Bus Station,7.6
BusLine_12,8,Banana 39 Bus Station,7.6
BusLine_12,9,Fruit 52 Bus Station,7.6
BusLine_13,1,Fruit 69 Bus Station,4.1
BusLine_13,2,Banana 1 Bus Station,4.1
BusLine_13,3,Happy 32 Bus Station,4.1
BusLine_13,4,Grape 2 Bus Station,4.1
BusLine_13,5,Egg 47 Bus Station,4.1
BusLine_13,6,Happy 31 Bus Station,4.1
BusLine_13,7,Egg 41 Bus Station,4.1
BusLine_13,8,Fruit 41 Bus Station,4.1
BusLine_14,1,Egg 47 Bus Station,9.2
BusLine_14,2,Egg 43 Bus Station,9.2
BusLine_14,3,Fruit 69 Bus Station,9.2
BusLine_14,4,Grape 40 Bus Station,9.2
BusLine_14,5,Fruit 40 Bus Station,9.2
BusLine_14,6,Banana 43 Bus Station,9.2
BusLine_15,1,Egg 24 Bus Station,2.4
BusLine_15,2,Grape 40 Bus Station,2.4
BusLine_15,3,Fruit 15 Bus Station,2.4
BusLine_15,4,Happy 31 Bus Station,2.4
BusLine_15,5,Happy 15 Bus Station,2.4
