Landmark_Name,Type,Abbreviation,Latitude,Longitude
Fruit 1 Train Station,Train Station,TS,22.309079,114.18467
Grape 1 Recreation Park,Recreation Park,RP,22.192095,113.741418
Fruit 2 Residential Building,Residential Building,RB,22.166051,113.609424
Dog 1 Recreation Park,Recreation Park,RP,22.258902,113.946833
Cat 1 Shopping Mall,Shopping Mall,SM,22.239822,114.057956
Grape 2 Bus Station,Bus Station,BS,22.151405,114.161135
Egg 1 Recreation Park,Recreation Park,RP,22.103796,114.186568
Grape 3 Residential Building,Residential Building,RB,22.263685,114.237188
Cat 2 Bus Station,Bus Station,BS,22.143526,114.068703
Happy 1 Residential Building,Residential Building,RB,22.192514,113.625244
Cat 3 Recreation Park,Recreation Park,RP,22.163562,113.958296
Dog 2 Bus Station,Bus Station,BS,22.169435,114.005534
Fruit 3 Recreation Park,Recreation Park,RP,22.147924,113.683571
Grape 4 Bus Station,Bus Station,BS,22.213409,113.751401
Happy 2 Train Station,Train Station,TS,22.297277,113.837455
Happy 3 Shopping Mall,Shopping Mall,SM,22.264922,113.943785
Dog 3 Bus Station,Bus Station,BS,22.187333,113.745332
Fruit 4 Train Station,Train Station,TS,22.21256,114.156803
Happy 4 Shopping Mall,Shopping Mall,SM,22.122375,114.027264
Apple 1 Recreation Park,Recreation Park,RP,22.127123,113.766114
Happy 5 Train Station,Train Station,TS,22.159143,113.612141
Apple 2 Train Station,Train Station,TS,22.145992,114.203174
Cat 4 Shopping Mall,Shopping Mall,SM,22.196094,113.695206
Grape 5 Recreation Park,Recreation Park,RP,22.255049,113.750386
Fruit 5 Train Station,Train Station,TS,22.28396,114.198161
Dog 4 Residential Building,Residential Building,RB,22.338581,113.555778
Fruit 6 Train Station,Train Station,TS,22.151359,114.301614
Fruit 7 Recreation Park,Recreation Park,RP,22.327113,114.011597
Egg 2 Residential Building,Residential Building,RB,22.342105,113.744851
Egg 3 Recreation Park,Recreation Park,RP,22.306953,114.141816
Happy 6 Shopping Mall,Shopping Mall,SM,22.136266,113.514775
Happy 7 Shopping Mall,Shopping Mall,SM,22.14297,114.2893
Grape 6 Shopping Mall,Shopping Mall,SM,22.22567,113.994281
Apple 3 Train Station,Train Station,TS,22.141362,113.681086
Apple 4 Bus Station,Bus Station,BS,22.311832,113.977042
Dog 5 Recreation Park,Recreation Park,RP,22.147108,113.574253
Apple 5 Bus Station,Bus Station,BS,22.111995,114.21377
Dog 6 Recreation Park,Recreation Park,RP,22.289795,113.894495
Grape 7 Residential Building,Residential Building,RB,22.162966,113.732069
Banana 1 Bus Station,Bus Station,BS,22.20682,114.05436
Apple 6 Shopping Mall,Shopping Mall,SM,22.283244,113.939001
Egg 4 Bus Station,Bus Station,BS,22.333661,113.869253
Grape 8 Shopping Mall,Shopping Mall,SM,22.212264,113.697251
Cat 5 Bus Station,Bus Station,BS,22.288809,113.842643
Dog 7 Bus Station,Bus Station,BS,22.333941,114.270417
Cat 6 Bus Station,Bus Station,BS,22.336483,114.12794
Dog 8 Residential Building,Residential Building,RB,22.341466,113.565717
Cat 7 Residential Building,Residential Building,RB,22.283876,113.574057
Banana 2 Residential Building,Residential Building,RB,22.293071,114.301513
Dog 9 Residential Building,Residential Building,RB,22.09645,114.20906
Dog 10 Bus Station,Bus Station,BS,22.324125,113.746835
Egg 5 Recreation Park,Recreation Park,RP,22.204962,113.738637
Happy 8 Residential Building,Residential Building,RB,22.248754,114.236434
Dog 11 Residential Building,Residential Building,RB,22.262421,113.728624
Cat 8 Residential Building,Residential Building,RB,22.18585,113.850316
Dog 12 Bus Station,Bus Station,BS,22.310688,113.716841
Apple 7 Bus Station,Bus Station,BS,22.118,114.097522
Dog 13 Train Station,Train Station,TS,22.255174,113.89328
Dog 14 Bus Station,Bus Station,BS,22.209367,113.72269
Egg 6 Recreation Park,Recreation Park,RP,22.201705,114.19395
Apple 8 Train Station,Train Station,TS,22.223307,113.652306
Apple 9 Bus Station,Bus Station,BS,22.309445,113.660065
Happy 9 Recreation Park,Recreation Park,RP,22.112511,113.593377
Grape 9 Residential Building,Residential Building,RB,22.142866,113.505816
Fruit 8 Shopping Mall,Shopping Mall,SM,22.136928,114.133927
Dog 15 Shopping Mall,Shopping Mall,SM,22.178698,113.590537
Egg 7 Train Station,Train Station,TS,22.154192,114.179223
Cat 9 Residential Building,Residential Building,RB,22.335138,114.120697
Banana 3 Train Station,Train Station,TS,22.330875,114.253782
Cat 10 Train Station,Train Station,TS,22.2968,113.803422
Fruit 9 Residential Building,Residential Building,RB,22.285049,113.828255
Egg 8 Train Station,Train Station,TS,22.219526,113.609131
Apple 10 Residential Building,Residential Building,RB,22.153795,114.102507
Banana 4 Residential Building,Residential Building,RB,22.30237,113.908968
Egg 9 Recreation Park,Recreation Park,RP,22.207789,113.796182
Egg 10 Train Station,Train Station,TS,22.333611,113.701773
Happy 10 Residential Building,Residential Building,RB,22.240384,113.828223
Cat 11 Shopping Mall,Shopping Mall,SM,22.133487,114.106616
Grape 10 Shopping Mall,Shopping Mall,SM,22.12665,113.894345
Cat 12 Shopping Mall,Shopping Mall,SM,22.207082,113.524399
Egg 11 Residential Building,Residential Building,RB,22.21781,114.049691
Egg 12 Shopping Mall,Shopping Mall,SM,22.224519,113.94379
Fruit 10 Residential Building,Residential Building,RB,22.274708,114.183815
Apple 11 Train Station,Train Station,TS,22.176153,113.920502
Egg 13 Bus Station,Bus Station,BS,22.330357,114.222372
Cat 13 Residential Building,Residential Building,RB,22.120261,113.848912
Apple 12 Recreation Park,Recreation Park,RP,22.265915,113.506475
Happy 11 Shopping Mall,Shopping Mall,SM,22.091884,113.518251
Egg 14 Shopping Mall,Shopping Mall,SM,22.295803,114.210729
Egg 15 Train Station,Train Station,TS,22.320117,113.848705
Apple 13 Train Station,Train Station,TS,22.145995,113.749226
Grape 11 Bus Station,Bus Station,BS,22.288739,114.193197
Apple 14 Shopping Mall,Shopping Mall,SM,22.094826,113.517169
Banana 5 Shopping Mall,Shopping Mall,SM,22.182385,113.897196
Grape 12 Residential Building,Residential Building,RB,22.334127,113.926034
Egg 16 Shopping Mall,Shopping Mall,SM,22.288271,113.595414
Fruit 11 Bus Station,Bus Station,BS,22.101585,114.043755
Fruit 12 Recreation Park,Recreation Park,RP,22.285775,114.001544
Fruit 13 Shopping Mall,Shopping Mall,SM,22.123587,113.720539
Dog 16 Shopping Mall,Shopping Mall,SM,22.30962,113.980339
Fruit 14 Bus Station,Bus Station,BS,22.177289,114.120805
Dog 17 Residential Building,Residential Building,RB,22.127607,113.725016
Apple 15 Residential Building,Residential Building,RB,22.258189,113.560471
Cat 14 Train Station,Train Station,TS,22.274907,113.879392
Fruit 15 Bus Station,Bus Station,BS,22.328064,114.052755
Happy 12 Residential Building,Residential Building,RB,22.25662,114.176874
Grape 13 Train Station,Train Station,TS,22.235815,114.06167
Dog 18 Residential Building,Residential Building,RB,22.125829,114.156179
Cat 15 Shopping Mall,Shopping Mall,SM,22.185017,113.97614
Egg 17 Recreation Park,Recreation Park,RP,22.249972,113.88762
Banana 6 Residential Building,Residential Building,RB,22.248953,113.591933
Happy 13 Shopping Mall,Shopping Mall,SM,22.190435,113.56338
Dog 19 Shopping Mall,Shopping Mall,SM,22.279981,114.142275
Cat 16 Recreation Park,Recreation Park,RP,22.314433,113.643512
Apple 16 Train Station,Train Station,TS,22.166899,114.150933
Egg 18 Residential Building,Residential Building,RB,22.312598,113.778927
Apple 17 Train Station,Train Station,TS,22.239342,114.051398
Apple 18 Residential Building,Residential Building,RB,22.10476,113.862977
Grape 14 Recreation Park,Recreation Park,RP,22.146294,113.515177
Fruit 16 Recreation Park,Recreation Park,RP,22.168688,113.553
Fruit 17 Residential Building,Residential Building,RB,22.27252,113.952658
Happy 14 Recreation Park,Recreation Park,RP,22.092038,113.609503
Apple 19 Recreation Park,Recreation Park,RP,22.181489,114.103631
Fruit 18 Bus Station,Bus Station,BS,22.30918,114.161981
Cat 17 Bus Station,Bus Station,BS,22.236986,113.53244
Egg 19 Recreation Park,Recreation Park,RP,22.333347,114.149102
Egg 20 Shopping Mall,Shopping Mall,SM,22.294269,114.297187
Happy 15 Bus Station,Bus Station,BS,22.306432,114.080496
Apple 20 Shopping Mall,Shopping Mall,SM,22.267772,114.209402
Grape 15 Shopping Mall,Shopping Mall,SM,22.136439,114.247288
Cat 18 Recreation Park,Recreation Park,RP,22.095456,113.511761
Banana 7 Shopping Mall,Shopping Mall,SM,22.226723,113.87146
Banana 8 Bus Station,Bus Station,BS,22.225681,113.910921
Grape 16 Shopping Mall,Shopping Mall,SM,22.254523,113.68047
Dog 20 Train Station,Train Station,TS,22.346623,113.783732
Apple 21 Bus Station,Bus Station,BS,22.160061,113.533336
Apple 22 Bus Station,Bus Station,BS,22.092384,113.635681
Fruit 19 Train Station,Train Station,TS,22.284618,113.763629
Egg 21 Shopping Mall,Shopping Mall,SM,22.149096,113.715939
Banana 9 Bus Station,Bus Station,BS,22.120061,114.238426
Dog 21 Train Station,Train Station,TS,22.16309,114.271146
Fruit 20 Residential Building,Residential Building,RB,22.176528,113.515623
