Line_ID,From_Station,To_Station,Price
TrainLine_1,Grape 19 Train Station,Cat 10 Train Station,0.89
TrainLine_1,Cat 10 Train Station,Fruit 43 Train Station,1.98
TrainLine_1,Fruit 43 Train Station,Fruit 19 Train Station,2.51
TrainLine_1,Fruit 19 Train Station,Cat 21 Train Station,2.16
TrainLine_1,Cat 21 Train Station,Cat 26 Train Station,5.19
TrainLine_1,Cat 26 Train Station,Dog 30 Train Station,6.32
TrainLine_1,Dog 30 Train Station,Grape 28 Train Station,1.1
TrainLine_1,Grape 28 Train Station,Apple 26 Train Station,4.14
TrainLine_1,Apple 26 Train Station,Banana 30 Train Station,6.01
TrainLine_1,Banana 30 Train Station,Dog 55 Train Station,2.97
TrainLine_1,Dog 55 Train Station,Apple 3 Train Station,0.85
TrainLine_1,Apple 3 Train Station,Happy 44 Train Station,8.87
TrainLine_2,Fruit 38 Train Station,Fruit 5 Train Station,2.97
TrainLine_2,Fruit 5 Train Station,Apple 53 Train Station,2.67
TrainLine_2,Apple 53 Train Station,Grape 54 Train Station,1.58
TrainLine_2,Grape 54 Train Station,Apple 2 Train Station,4.96
TrainLine_2,Apple 2 Train Station,Egg 7 Train Station,1.27
TrainLine_2,Egg 7 Train Station,Egg 22 Train Station,6.53
TrainLine_2,Egg 22 Train Station,Egg 26 Train Station,2.11
TrainLine_2,Egg 26 Train Station,Egg 29 Train Station,2.07
TrainLine_2,Egg 29 Train Station,Banana 32 Train Station,6.85
TrainLine_2,Banana 32 Train Station,Banana 17 Train Station,6.7
TrainLine_2,Banana 17 Train Station,Fruit 68 Train Station,3.85
TrainLine_2,Fruit 68 Train Station,Fruit 26 Train Station,1.57
TrainLine_2,Fruit 26 Train Station,Dog 41 Train Station,12.44
TrainLine_2,Dog 41 Train Station,Dog 39 Train Station,13.29
TrainLine_3,Egg 39 Train Station,Grape 54 Train Station,6.84
TrainLine_3,Grape 54 Train Station,Egg 22 Train Station,3.05
TrainLine_3,Egg 22 Train Station,Grape 13 Train Station,1.1
TrainLine_3,Grape 13 Train Station,Fruit 49 Train Station,8.75
TrainLine_3,Fruit 49 Train Station,Banana 31 Train Station,11.34
TrainLine_3,Banana 31 Train Station,Banana 42 Train Station,3.19
TrainLine_3,Banana 42 Train Station,Grape 49 Train Station,5.16
TrainLine_3,Grape 49 Train Station,Fruit 5 Train Station,3.64
TrainLine_3,Fruit 5 Train Station,Banana 36 Train Station,16.19
TrainLine_3,Banana 36 Train Station,Cat 39 Train Station,16.87
TrainLine_3,Cat 39 Train Station,Apple 64 Train Station,16.45
TrainLine_3,Apple 64 Train Station,Fruit 62 Train Station,4.93
TrainLine_4,Grape 23 Train Station,Apple 11 Train Station,4.94
TrainLine_4,Apple 11 Train Station,Dog 39 Train Station,6.95
TrainLine_4,Dog 39 Train Station,Banana 30 Train Station,12.72
TrainLine_4,Banana 30 Train Station,Dog 30 Train Station,3.24
TrainLine_4,Dog 30 Train Station,Fruit 57 Train Station,4.86
TrainLine_4,Fruit 57 Train Station,Grape 28 Train Station,3.84
TrainLine_4,Grape 28 Train Station,Fruit 62 Train Station,9.77
TrainLine_4,Fruit 62 Train Station,Apple 26 Train Station,9.45
TrainLine_4,Apple 26 Train Station,Egg 65 Train Station,8.78
TrainLine_4,Egg 65 Train Station,Happy 28 Train Station,8.65
TrainLine_4,Happy 28 Train Station,Dog 40 Train Station,7.38
TrainLine_4,Dog 40 Train Station,Egg 10 Train Station,10.32
TrainLine_4,Egg 10 Train Station,Happy 5 Train Station,9.81
TrainLine_5,Happy 28 Train Station,Apple 8 Train Station,3.16
TrainLine_5,Apple 8 Train Station,Egg 36 Train Station,1.53
TrainLine_5,Egg 36 Train Station,Egg 8 Train Station,0.64
TrainLine_5,Egg 8 Train Station,Cat 33 Train Station,2.55
TrainLine_5,Cat 33 Train Station,Happy 59 Train Station,1.12
TrainLine_5,Happy 59 Train Station,Dog 55 Train Station,7.13
TrainLine_5,Dog 55 Train Station,Apple 3 Train Station,0.85
TrainLine_5,Apple 3 Train Station,Happy 5 Train Station,3.56
TrainLine_5,Happy 5 Train Station,Dog 40 Train Station,1.06
TrainLine_5,Dog 40 Train Station,Fruit 57 Train Station,5.18
TrainLine_5,Fruit 57 Train Station,Dog 50 Train Station,8.0
TrainLine_5,Dog 50 Train Station,Dog 36 Train Station,3.69
TrainLine_5,Dog 36 Train Station,Happy 50 Train Station,4.72
TrainLine_6,Egg 7 Train Station,Banana 32 Train Station,2.29
TrainLine_6,Banana 32 Train Station,Egg 39 Train Station,2.38
TrainLine_6,Egg 39 Train Station,Egg 29 Train Station,8.24
TrainLine_6,Egg 29 Train Station,Banana 17 Train Station,0.93
TrainLine_6,Banana 17 Train Station,Banana 42 Train Station,2.43
TrainLine_6,Banana 42 Train Station,Fruit 68 Train Station,1.58
TrainLine_6,Fruit 68 Train Station,Fruit 26 Train Station,1.57
TrainLine_6,Fruit 26 Train Station,Dog 35 Train Station,12.84
TrainLine_6,Dog 35 Train Station,Grape 44 Train Station,7.39
TrainLine_7,Egg 65 Train Station,Dog 55 Train Station,3.06
TrainLine_7,Dog 55 Train Station,Egg 44 Train Station,3.41
TrainLine_7,Egg 44 Train Station,Apple 8 Train Station,6.39
TrainLine_7,Apple 8 Train Station,Fruit 19 Train Station,6.35
TrainLine_7,Fruit 19 Train Station,Egg 10 Train Station,3.95
TrainLine_7,Egg 10 Train Station,Cat 10 Train Station,5.41
TrainLine_7,Cat 10 Train Station,Banana 19 Train Station,12.33
TrainLine_7,Banana 19 Train Station,Dog 41 Train Station,7.01
TrainLine_7,Dog 41 Train Station,Banana 32 Train Station,3.07
TrainLine_7,Banana 32 Train Station,Egg 7 Train Station,2.29
TrainLine_7,Egg 7 Train Station,Apple 28 Train Station,1.02
TrainLine_7,Apple 28 Train Station,Cat 39 Train Station,10.16
TrainLine_7,Cat 39 Train Station,Dog 21 Train Station,9.88
TrainLine_8,Egg 36 Train Station,Dog 55 Train Station,4.27
TrainLine_8,Dog 55 Train Station,Happy 63 Train Station,7.71
TrainLine_8,Happy 63 Train Station,Grape 28 Train Station,7.08
TrainLine_8,Grape 28 Train Station,Egg 10 Train Station,7.0
TrainLine_8,Egg 10 Train Station,Happy 22 Train Station,11.36
TrainLine_8,Happy 22 Train Station,Happy 2 Train Station,8.44
TrainLine_8,Happy 2 Train Station,Dog 13 Train Station,3.5
TrainLine_8,Dog 13 Train Station,Apple 11 Train Station,4.18
TrainLine_8,Apple 11 Train Station,Fruit 49 Train Station,2.87
TrainLine_8,Fruit 49 Train Station,Happy 18 Train Station,2.16
