Line_ID,Stop_Order,Station_Name
TrainLine_1,1,Grape 19 Train Station
TrainLine_1,2,Cat 10 Train Station
TrainLine_1,3,Fruit 43 Train Station
TrainLine_1,4,Fruit 19 Train Station
TrainLine_1,5,Cat 21 Train Station
TrainLine_1,6,Cat 26 Train Station
TrainLine_1,7,Dog 30 Train Station
TrainLine_1,8,Grape 28 Train Station
TrainLine_1,9,Apple 26 Train Station
TrainLine_1,10,Banana 30 Train Station
TrainLine_1,11,Dog 55 Train Station
TrainLine_1,12,Apple 3 Train Station
TrainLine_1,13,Happy 44 Train Station
TrainLine_2,1,Fruit 38 Train Station
TrainLine_2,2,Fruit 5 Train Station
TrainLine_2,3,Apple 53 Train Station
TrainLine_2,4,Grape 54 Train Station
TrainLine_2,5,Apple 2 Train Station
TrainLine_2,6,Egg 7 Train Station
TrainLine_2,7,Egg 22 Train Station
TrainLine_2,8,Egg 26 Train Station
TrainLine_2,9,Egg 29 Train Station
TrainLine_2,10,Banana 32 Train Station
TrainLine_2,11,Banana 17 Train Station
TrainLine_2,12,Fruit 68 Train Station
TrainLine_2,13,Fruit 26 Train Station
TrainLine_2,14,Dog 41 Train Station
TrainLine_2,15,Dog 39 Train Station
TrainLine_3,1,Egg 39 Train Station
TrainLine_3,2,Grape 54 Train Station
TrainLine_3,3,Egg 22 Train Station
TrainLine_3,4,Grape 13 Train Station
TrainLine_3,5,Fruit 49 Train Station
TrainLine_3,6,Banana 31 Train Station
TrainLine_3,7,Banana 42 Train Station
TrainLine_3,8,Grape 49 Train Station
TrainLine_3,9,Fruit 5 Train Station
TrainLine_3,10,Banana 36 Train Station
TrainLine_3,11,Cat 39 Train Station
TrainLine_3,12,Apple 64 Train Station
TrainLine_3,13,Fruit 62 Train Station
TrainLine_4,1,Grape 23 Train Station
TrainLine_4,2,Apple 11 Train Station
TrainLine_4,3,Dog 39 Train Station
TrainLine_4,4,Banana 30 Train Station
TrainLine_4,5,Dog 30 Train Station
TrainLine_4,6,Fruit 57 Train Station
TrainLine_4,7,Grape 28 Train Station
TrainLine_4,8,Fruit 62 Train Station
TrainLine_4,9,Apple 26 Train Station
TrainLine_4,10,Egg 65 Train Station
TrainLine_4,11,Happy 28 Train Station
TrainLine_4,12,Dog 40 Train Station
TrainLine_4,13,Egg 10 Train Station
TrainLine_4,14,Happy 5 Train Station
TrainLine_5,1,Happy 28 Train Station
TrainLine_5,2,Apple 8 Train Station
TrainLine_5,3,Egg 36 Train Station
TrainLine_5,4,Egg 8 Train Station
TrainLine_5,5,Cat 33 Train Station
TrainLine_5,6,Happy 59 Train Station
TrainLine_5,7,Dog 55 Train Station
TrainLine_5,8,Apple 3 Train Station
TrainLine_5,9,Happy 5 Train Station
TrainLine_5,10,Dog 40 Train Station
TrainLine_5,11,Fruit 57 Train Station
TrainLine_5,12,Dog 50 Train Station
TrainLine_5,13,Dog 36 Train Station
TrainLine_5,14,Happy 50 Train Station
TrainLine_6,1,Egg 7 Train Station
TrainLine_6,2,Banana 32 Train Station
TrainLine_6,3,Egg 39 Train Station
TrainLine_6,4,Egg 29 Train Station
TrainLine_6,5,Banana 17 Train Station
TrainLine_6,6,Banana 42 Train Station
TrainLine_6,7,Fruit 68 Train Station
TrainLine_6,8,Fruit 26 Train Station
TrainLine_6,9,Dog 35 Train Station
TrainLine_6,10,Grape 44 Train Station
TrainLine_7,1,Egg 65 Train Station
TrainLine_7,2,Dog 55 Train Station
TrainLine_7,3,Egg 44 Train Station
TrainLine_7,4,Apple 8 Train Station
TrainLine_7,5,Fruit 19 Train Station
TrainLine_7,6,Egg 10 Train Station
TrainLine_7,7,Cat 10 Train Station
TrainLine_7,8,Banana 19 Train Station
TrainLine_7,9,Dog 41 Train Station
TrainLine_7,10,Banana 32 Train Station
TrainLine_7,11,Egg 7 Train Station
TrainLine_7,12,Apple 28 Train Station
TrainLine_7,13,Cat 39 Train Station
TrainLine_7,14,Dog 21 Train Station
TrainLine_8,1,Egg 36 Train Station
TrainLine_8,2,Dog 55 Train Station
TrainLine_8,3,Happy 63 Train Station
TrainLine_8,4,Grape 28 Train Station
TrainLine_8,5,Egg 10 Train Station
TrainLine_8,6,Happy 22 Train Station
TrainLine_8,7,Happy 2 Train Station
TrainLine_8,8,Dog 13 Train Station
TrainLine_8,9,Apple 11 Train Station
TrainLine_8,10,Fruit 49 Train Station
TrainLine_8,11,Happy 18 Train Station
TrainLine_8,12,Banana 42 Train Station
TrainLine_9,1,Fruit 39 Train Station
TrainLine_9,2,Cat 58 Train Station
TrainLine_9,3,Grape 23 Train Station
TrainLine_9,4,Dog 20 Train Station
TrainLine_9,5,Cat 21 Train Station
TrainLine_9,6,Banana 30 Train Station
TrainLine_9,7,Happy 59 Train Station
TrainLine_10,1,Apple 53 Train Station
TrainLine_10,2,Grape 54 Train Station
TrainLine_10,3,Fruit 4 Train Station
TrainLine_10,4,Fruit 66 Train Station
