Landmark_Name,Type,Abbreviation,Latitude,Longitude
Banana 1 Residential Building,Residential Building,RB,22.327647,114.141368
Happy 1 Residential Building,Residential Building,RB,22.314405,114.21648
Apple 1 Residential Building,Residential Building,RB,22.344425,113.643073
Grape 1 Residential Building,Residential Building,RB,22.187898,114.176861
Banana 2 Recreation Park,Recreation Park,RP,22.336001,113.665681
Banana 3 Bus Station,Bus Station,BS,22.183504,113.679342
Apple 2 Shopping Mall,Shopping Mall,SM,22.312165,113.942799
Happy 2 Bus Station,Bus Station,BS,22.138029,114.232796
Dog 1 Recreation Park,Recreation Park,RP,22.113857,113.550623
Cat 1 Residential Building,Residential Building,RB,22.251023,113.645475
Dog 2 Bus Station,Bus Station,BS,22.221165,114.30613
Cat 2 Shopping Mall,Shopping Mall,SM,22.264066,114.215388
Egg 1 Bus Station,Bus Station,BS,22.272712,113.867366
Fruit 1 Recreation Park,Recreation Park,RP,22.120277,114.043435
Fruit 2 Recreation Park,Recreation Park,RP,22.295762,113.91241
Grape 2 Train Station,Train Station,TS,22.148156,113.911961
Egg 2 Train Station,Train Station,TS,22.238676,113.810195
Dog 3 Bus Station,Bus Station,BS,22.326492,113.540589
Fruit 3 Bus Station,Bus Station,BS,22.24777,113.778888
Fruit 4 Residential Building,Residential Building,RB,22.323333,113.645383
Egg 3 Bus Station,Bus Station,BS,22.182702,114.062604
Egg 4 Train Station,Train Station,TS,22.221487,113.882174
Happy 3 Recreation Park,Recreation Park,RP,22.337729,113.972934
Apple 3 Train Station,Train Station,TS,22.138176,113.80131
Cat 3 Shopping Mall,Shopping Mall,SM,22.125205,114.074966
Grape 3 Shopping Mall,Shopping Mall,SM,22.327937,113.697002
Cat 4 Shopping Mall,Shopping Mall,SM,22.261348,113.737172
Banana 4 Bus Station,Bus Station,BS,22.308112,113.563677
Cat 5 Residential Building,Residential Building,RB,22.216992,113.959171
Apple 4 Shopping Mall,Shopping Mall,SM,22.222827,114.103892
Grape 4 Bus Station,Bus Station,BS,22.239064,114.22315
Egg 5 Shopping Mall,Shopping Mall,SM,22.270108,114.143773
Egg 6 Recreation Park,Recreation Park,RP,22.106053,114.006004
Fruit 5 Residential Building,Residential Building,RB,22.156425,113.855895
Grape 5 Train Station,Train Station,TS,22.322397,113.625951
Grape 6 Bus Station,Bus Station,BS,22.203505,113.948089
Egg 7 Train Station,Train Station,TS,22.240147,113.854023
Happy 4 Residential Building,Residential Building,RB,22.348189,114.054395
Apple 5 Shopping Mall,Shopping Mall,SM,22.319967,113.819942
Apple 6 Bus Station,Bus Station,BS,22.10743,113.518909
Egg 8 Train Station,Train Station,TS,22.10185,113.814068
Apple 7 Recreation Park,Recreation Park,RP,22.268822,114.255477
Cat 6 Shopping Mall,Shopping Mall,SM,22.126862,113.535564
Apple 8 Recreation Park,Recreation Park,RP,22.231928,114.248623
Grape 7 Train Station,Train Station,TS,22.304691,113.918318
Banana 5 Residential Building,Residential Building,RB,22.206061,113.849073
Happy 5 Recreation Park,Recreation Park,RP,22.149036,114.143945
Dog 4 Bus Station,Bus Station,BS,22.186283,114.091932
Banana 6 Shopping Mall,Shopping Mall,SM,22.103872,113.718974
Apple 9 Bus Station,Bus Station,BS,22.135965,113.898324
Happy 6 Residential Building,Residential Building,RB,22.108983,113.794963
Cat 7 Residential Building,Residential Building,RB,22.312617,113.862999
Apple 10 Residential Building,Residential Building,RB,22.18629,113.888396
Happy 7 Bus Station,Bus Station,BS,22.261488,113.674382
Apple 11 Residential Building,Residential Building,RB,22.189035,113.68722
Apple 12 Bus Station,Bus Station,BS,22.240787,113.571393
Fruit 6 Train Station,Train Station,TS,22.200711,114.170713
Cat 8 Residential Building,Residential Building,RB,22.269371,114.289353
Happy 8 Bus Station,Bus Station,BS,22.336031,114.232119
Banana 7 Train Station,Train Station,TS,22.189482,113.930859
Dog 5 Recreation Park,Recreation Park,RP,22.123792,113.993903
Egg 9 Recreation Park,Recreation Park,RP,22.09516,113.796923
Banana 8 Recreation Park,Recreation Park,RP,22.101704,113.640357
Happy 9 Recreation Park,Recreation Park,RP,22.224859,113.537538
Apple 13 Residential Building,Residential Building,RB,22.198422,113.884661
Banana 9 Bus Station,Bus Station,BS,22.167061,113.585637
Happy 10 Residential Building,Residential Building,RB,22.237538,113.510269
Happy 11 Recreation Park,Recreation Park,RP,22.185417,114.302537
Dog 6 Train Station,Train Station,TS,22.302163,114.120994
Happy 12 Train Station,Train Station,TS,22.262682,114.001556
Cat 9 Shopping Mall,Shopping Mall,SM,22.249113,114.283275
Dog 7 Bus Station,Bus Station,BS,22.119712,113.983177
Happy 13 Recreation Park,Recreation Park,RP,22.203624,113.844001
Dog 8 Residential Building,Residential Building,RB,22.169775,113.538792
Grape 8 Shopping Mall,Shopping Mall,SM,22.153992,113.623855
Happy 14 Bus Station,Bus Station,BS,22.335784,114.023776
Banana 10 Recreation Park,Recreation Park,RP,22.131203,113.877432
Cat 10 Recreation Park,Recreation Park,RP,22.199833,113.805119
Happy 15 Recreation Park,Recreation Park,RP,22.224475,114.250817
Grape 9 Shopping Mall,Shopping Mall,SM,22.101551,114.036381
Dog 9 Shopping Mall,Shopping Mall,SM,22.283849,114.140021
