Line_ID,From_Station,To_Station,Price
TrainLine_1,Cat 24 Train Station,Cat 55 Train Station,3.21
TrainLine_1,Cat 55 Train Station,Fruit 52 Train Station,5.22
TrainLine_1,Fruit 52 Train Station,Grape 54 Train Station,7.85
TrainLine_1,Grape 54 Train Station,Grape 7 Train Station,3.15
TrainLine_1,Grape 7 Train Station,Dog 59 Train Station,3.44
TrainLine_1,Dog 59 Train Station,Apple 59 Train Station,3.9
TrainLine_1,Apple 59 Train Station,Banana 43 Train Station,6.39
TrainLine_1,Banana 43 Train Station,Happy 39 Train Station,3.9
TrainLine_1,Happy 39 Train Station,Fruit 11 Train Station,4.74
TrainLine_1,Fruit 11 Train Station,Grape 56 Train Station,5.33
TrainLine_1,Grape 56 Train Station,Fruit 45 Train Station,3.3
TrainLine_1,Fruit 45 Train Station,Egg 19 Train Station,3.47
TrainLine_1,Egg 19 Train Station,Cat 52 Train Station,1.77
TrainLine_1,Cat 52 Train Station,Dog 30 Train Station,4.81
TrainLine_2,Dog 33 Train Station,Dog 46 Train Station,3.57
TrainLine_2,Dog 46 Train Station,Fruit 38 Train Station,2.85
TrainLine_2,Fruit 38 Train Station,Fruit 28 Train Station,2.94
TrainLine_2,Fruit 28 Train Station,Cat 23 Train Station,4.42
TrainLine_2,Cat 23 Train Station,Grape 50 Train Station,5.78
TrainLine_2,Grape 50 Train Station,Banana 49 Train Station,5.33
TrainLine_2,Banana 49 Train Station,Happy 24 Train Station,12.31
TrainLine_2,Happy 24 Train Station,Fruit 41 Train Station,13.63
TrainLine_2,Fruit 41 Train Station,Happy 36 Train Station,12.01
TrainLine_2,Happy 36 Train Station,Cat 24 Train Station,5.09
TrainLine_2,Cat 24 Train Station,Fruit 49 Train Station,3.51
TrainLine_3,Fruit 6 Train Station,Grape 55 Train Station,2.25
TrainLine_3,Grape 55 Train Station,Egg 52 Train Station,0.57
TrainLine_3,Egg 52 Train Station,Grape 56 Train Station,1.21
TrainLine_3,Grape 56 Train Station,Happy 48 Train Station,0.82
TrainLine_3,Happy 48 Train Station,Cat 29 Train Station,3.18
TrainLine_3,Cat 29 Train Station,Fruit 11 Train Station,7.52
TrainLine_3,Fruit 11 Train Station,Happy 39 Train Station,4.74
TrainLine_3,Happy 39 Train Station,Banana 23 Train Station,1.46
TrainLine_4,Dog 34 Train Station,Egg 19 Train Station,6.19
TrainLine_4,Egg 19 Train Station,Happy 39 Train Station,6.21
TrainLine_4,Happy 39 Train Station,Dog 14 Train Station,5.15
TrainLine_4,Dog 14 Train Station,Happy 12 Train Station,3.98
TrainLine_4,Happy 12 Train Station,Dog 45 Train Station,2.37
TrainLine_4,Dog 45 Train Station,Apple 59 Train Station,7.65
TrainLine_4,Apple 59 Train Station,Grape 2 Train Station,2.31
TrainLine_4,Grape 2 Train Station,Dog 59 Train Station,4.4
TrainLine_5,Dog 40 Train Station,Dog 6 Train Station,3.05
TrainLine_5,Dog 6 Train Station,Dog 65 Train Station,0.45
TrainLine_5,Dog 65 Train Station,Fruit 62 Train Station,1.58
TrainLine_5,Fruit 62 Train Station,Fruit 6 Train Station,4.75
TrainLine_5,Fruit 6 Train Station,Grape 55 Train Station,2.25
TrainLine_5,Grape 55 Train Station,Banana 43 Train Station,5.88
TrainLine_5,Banana 43 Train Station,Happy 48 Train Station,4.46
TrainLine_5,Happy 48 Train Station,Grape 56 Train Station,0.82
TrainLine_5,Grape 56 Train Station,Dog 45 Train Station,8.21
TrainLine_5,Dog 45 Train Station,Banana 23 Train Station,6.49
TrainLine_5,Banana 23 Train Station,Happy 12 Train Station,4.54
TrainLine_6,Fruit 23 Train Station,Banana 52 Train Station,1.14
TrainLine_6,Banana 52 Train Station,Banana 55 Train Station,2.11
TrainLine_6,Banana 55 Train Station,Cat 24 Train Station,1.88
TrainLine_6,Cat 24 Train Station,Cat 55 Train Station,3.21
TrainLine_6,Cat 55 Train Station,Egg 2 Train Station,1.85
TrainLine_6,Egg 2 Train Station,Banana 54 Train Station,5.19
TrainLine_6,Banana 54 Train Station,Fruit 52 Train Station,9.75
