Line_ID,Stop_Order,Station_Name
TrainLine_1,1,Cat 24 Train Station
TrainLine_1,2,Cat 55 Train Station
TrainLine_1,3,Fruit 52 Train Station
TrainLine_1,4,Grape 54 Train Station
TrainLine_1,5,Grape 7 Train Station
TrainLine_1,6,Dog 59 Train Station
TrainLine_1,7,Apple 59 Train Station
TrainLine_1,8,Banana 43 Train Station
TrainLine_1,9,Happy 39 Train Station
TrainLine_1,10,Fruit 11 Train Station
TrainLine_1,11,Grape 56 Train Station
TrainLine_1,12,Fruit 45 Train Station
TrainLine_1,13,Egg 19 Train Station
TrainLine_1,14,Cat 52 Train Station
TrainLine_1,15,Dog 30 Train Station
TrainLine_2,1,Dog 33 Train Station
TrainLine_2,2,Dog 46 Train Station
TrainLine_2,3,Fruit 38 Train Station
TrainLine_2,4,Fruit 28 Train Station
TrainLine_2,5,Cat 23 Train Station
TrainLine_2,6,Grape 50 Train Station
TrainLine_2,7,Banana 49 Train Station
TrainLine_2,8,Happy 24 Train Station
TrainLine_2,9,Fruit 41 Train Station
TrainLine_2,10,Happy 36 Train Station
TrainLine_2,11,Cat 24 Train Station
TrainLine_2,12,Fruit 49 Train Station
TrainLine_3,1,Fruit 6 Train Station
TrainLine_3,2,Grape 55 Train Station
TrainLine_3,3,Egg 52 Train Station
TrainLine_3,4,Grape 56 Train Station
TrainLine_3,5,Happy 48 Train Station
TrainLine_3,6,Cat 29 Train Station
TrainLine_3,7,Fruit 11 Train Station
TrainLine_3,8,Happy 39 Train Station
TrainLine_3,9,Banana 23 Train Station
TrainLine_4,1,Dog 34 Train Station
TrainLine_4,2,Egg 19 Train Station
TrainLine_4,3,Happy 39 Train Station
TrainLine_4,4,Dog 14 Train Station
TrainLine_4,5,Happy 12 Train Station
TrainLine_4,6,Dog 45 Train Station
TrainLine_4,7,Apple 59 Train Station
TrainLine_4,8,Grape 2 Train Station
TrainLine_4,9,Dog 59 Train Station
TrainLine_5,1,Dog 40 Train Station
TrainLine_5,2,Dog 6 Train Station
TrainLine_5,3,Dog 65 Train Station
TrainLine_5,4,Fruit 62 Train Station
TrainLine_5,5,Fruit 6 Train Station
TrainLine_5,6,Grape 55 Train Station
TrainLine_5,7,Banana 43 Train Station
TrainLine_5,8,Happy 48 Train Station
TrainLine_5,9,Grape 56 Train Station
TrainLine_5,10,Dog 45 Train Station
TrainLine_5,11,Banana 23 Train Station
TrainLine_5,12,Happy 12 Train Station
TrainLine_6,1,Fruit 23 Train Station
TrainLine_6,2,Banana 52 Train Station
TrainLine_6,3,Banana 55 Train Station
TrainLine_6,4,Cat 24 Train Station
TrainLine_6,5,Cat 55 Train Station
TrainLine_6,6,Egg 2 Train Station
TrainLine_6,7,Banana 54 Train Station
TrainLine_6,8,Fruit 52 Train Station
TrainLine_6,9,Cat 36 Train Station
TrainLine_6,10,Egg 7 Train Station
TrainLine_7,1,Fruit 52 Train Station
TrainLine_7,2,Happy 36 Train Station
TrainLine_8,1,Grape 2 Train Station
TrainLine_8,2,Banana 7 Train Station
TrainLine_8,3,Apple 59 Train Station
TrainLine_8,4,Apple 65 Train Station
TrainLine_8,5,Banana 47 Train Station
TrainLine_8,6,Fruit 60 Train Station
TrainLine_9,1,Grape 48 Train Station
TrainLine_9,2,Egg 4 Train Station
TrainLine_9,3,Cat 48 Train Station
TrainLine_9,4,Grape 26 Train Station
TrainLine_9,5,Grape 18 Train Station
TrainLine_9,6,Egg 8 Train Station
TrainLine_9,7,Happy 24 Train Station
TrainLine_10,1,Grape 58 Train Station
TrainLine_10,2,Egg 52 Train Station
TrainLine_10,3,Grape 30 Train Station
TrainLine_10,4,Fruit 45 Train Station
TrainLine_10,5,Happy 39 Train Station
TrainLine_10,6,Fruit 11 Train Station
TrainLine_10,7,Grape 48 Train Station
TrainLine_10,8,Cat 48 Train Station
TrainLine_10,9,Egg 8 Train Station
TrainLine_10,10,Happy 24 Train Station
TrainLine_10,11,Fruit 23 Train Station
TrainLine_10,12,Apple 35 Train Station
TrainLine_10,13,Cat 23 Train Station
